abandoned	заброшенный
athletics	атлетика
athwart	через, вопреки (не through)
atlas	атлас
atmosphere	атмосфера
atmospheric	атмосферный
atom	атом
attached	приложенный (не embedded) 
attachment	привязанность, прикрепление
attach	придавать
attacked	атакованный 
attacks	нападения 
attack	нападение, наступать
attempting	попытка
attempts	попытки 
attempt	пробовать, пытаться, попытка
attendance	присутствие, аудитория
attendants	дежурные 
attendant	служитель, слуга
attended	обслуженный, обслужил (от attend)
attending	посещение(сопровождение)
attend	посещать, обслуживать
attentions	внимание 
attention	внимание
attentive	внимательный, заботливый
attest	удостоверять
attic	чердак
attire	украшение, наряд
attitude	позиция, отношение, поза
attorney	адвокат, поверенный (не advocate)
attraction	привлекательность, аттракцион
attractive	привлекательный
attract	привлекать
attributed	приписанный 
attribute	приписывать
at	в, у
auction	аукцион
audacity	отвага, нахальство
audible	слышный, слышимый
audience	публика
auditorium	зрительный зал
August	август
aunt	тетя
authentic	подлинный
authoritative	авторитетный
authorities	власти 
authority	власть, полномочие, управление
authorize	санкционировать
authors	авторы 
author	автор
autobiography	автобиография
autograph	автограф 
automatically	автоматически
automatic	автоматический
automobile	автомобиль
auto	автомобиль
autumn	осень
auxiliary	вспомогательный, дополнительный
available	доступный
avalanche	снежный обвал, лавина
avenge	(ото)мстить
avenue	проспект
average	средний
aversion	отвращение
ave	прощание
avoid	избегать, избежать
await	ждать
awakened	пробужденный 
awake	бодрствующий
aware	сознающий
away	прочь
awestruck	пораженный
awe	(благоговейный) страх
awfully	ужасно, очень (разг.), крайне
awful	ужасный
awhile	некоторое время
awkward	неуклюжий
awoke	будил
axis	ось
aye	утвердительный ответ, положительный ответ (не yes) 
ay	да 
a	неопределенный артикль
babble	бормотание, болтовня
baby	ребенок
bab	бэб 
backed	поддержанный 
background	фон, задний план
backs	задние части
backup	резервный
backwards	назад 
backward	назад, обратно, наоборот
back	спина, назад
bacon	бекон
bade	предлагал 
badger	барсук, травить
badge	знак, символ, эмблема
badly	сильно, плохо
bad	плохой
baffle	озадачивать, мешать
bagful	мешок
baggage	багаж
bags	сумки, багаж (от bag)
bag	сумка
bail	поручительство
bait	приманка
bakery	пекарня
bakery	пекарня
baker	пекарь, булочник
balanced	уравновешенный
balance	равновесие
balcony	балкон
bald	лысый, оголенный
ballast	балласт, опыт, убеждения
ballet	балет
balloons	воздушные шары 
balloon	воздушный шар
ball	мяч
balmy	душистый, нежный, целебный
bamboo	бамбук
bananas	бананы (от banana)
banana	банан
bandage	бинт, повязка, перевязывать, бинтовать
bands	ансамбли (от band)
bandy	перебрасываться, хоккей, клюшка
band	лента, оркестр, ансамбль (музыкальный)
banged	ударенный (!NEW!)
bang	ударять, хлопать (дверью и т.п.)
banisters	перила (лестницы)
bank	банк
banner	знамя
banquet	банкет
ban	запрещать
barbara	барбара 
barbed	колючий, ядовитый
barefooted	босой
barely	только, едва
bare	голый, бедный, простой
bargain	сделка
barge	баржа
bark	кора дерева
barley	ячмень
barnabas	барнабас 
barnacle	моллюск 
barn	амбар
baron	барон 
barrel	баррель
barren	бесплодный, неплодородный
barrier	барьер, преграда
barrow	носилки
bars	бруски(бары) 
barton	имение, поместье, усадьба (не estate) (!NEW!)
bar	бар
baseball	бейсбол
based	основанный 
basement	основание
base	основа
basically	в основном
basic	основной
basin	бассейн
basis	основа, основание
basket	корзина
bass	бас, басовый
batch	выпечка, партия, группа
bates	убавляет 
bathe	купаться
bathing	купание, купальный
bathroom	ванная комната
bath	ванна
battery	аккумулятор
battle	бой, сражение
bat	бить
bay	бухта, залив
beach	пляж
beacon	сигнальный огонь, маяк
beagle	гончая 
beaker	кубок, чаша (не rummer)
beak	клюв
beamed	сиял 
beaming	сияющий (от слова beam) 
beams	лучи 
beam	сиять, излучать (свет)
beans	фасоль
bean	боб
bearable	терпимый, сносный
beard	борода
bearer	носитель, податель, предъявитель
bearing	отношение(поведение)
bears	медведи 
bear	медведь, спекулянт
beastly	противный (разг.)  (от слова зверь!!!)
beasts	звери (!NEW!)
beast	зверь, животное
beaten	битый
beating	поражение
beat	ударить, бить
beautifully	красиво, прекрасно
beautiful	красивый
beauty	красота, косметический
beau	кавалер, поклонник
became	становился, стал (от become)
because	потому что
beck	кивок, приветствие
becomes	становится (от become)
become	становиться
becoming	подобающий, приличествующий, соответственный, идущий (к лицу) (не eligible, suitable)
bedding	спальные принадлежности (bedding)
bedroom	спальня
bedside	постель
beds	кровати 
bed	постель
beech	бук
beef	говядина
beehive	улей
been	быть (от be)
beer	пиво
bees	пчелы 
beetle	трамбовать, дробить камни
beetroot	красная свекла
bee	пчела
beforehand	заранее
before	перед, до того как
began	начинал, начал (от begin)
beggar	нищий
beginner	новичок (не newcomer)
beginning	начало
begins	начинается (от begin)
begin	начинать(ся)
begun	начатый 
beg	просить, умолять
behalf	защита 
behaved	вел себя 
behave	вести себя
behaviour	поведение
beheld	созерцал 
behind	позади
behold	созерцать 
beings	существа 
being	будучи (от be)
belfry	колокольня
belief	вера, доверие
believed	верил, полагал (от believe)
believes	верит 
believe	верить
believing	вера
bellamy	беллами 
bella	белла 
bellow	мычание, греметь, громыхать (не rattle)
belly	живот, аппетит
bell	звонок
belonged	принадлежащий (!NEW!)
belongings	вещи, пожитки
belong	принадлежать
beloved	любимый
below	ниже, внизу
belt	пояс, ремень
bench	скамейка
bending	изгиб
bend	гнуться, изгибаться
beneath	под, ниже, внизу
benefit	благо, польза
bennet	беннет 
bent	склонность, наклонность
Ben	бен 
berenice	беренис 
berries	ягоды (от berry)
berth	койка, спальное место
bertram	бертрам 
beset	окружать
besides	кроме, кроме того
beside	рядом, около
bestowed	подаренный 
best	наилучший
Beth	бет 
betrayed	преданный (от слова предательство) 
betray	предавать
better	лучше
Betty	бетти 
between	между
bet	держать пари, пари
beverley	беверлей 
bewail	оплакивать, скорбеть
beware	осторожно
bewildered	пораженный, изумленный
beyond	далеко, вдали, на расстоянии, вне, сверх
be	быть
Bible	библия
bicyclelist	велосипедист
bicycle	велосипед
bicycle	велосипед
bidding	понижение цены
bid	предложение 
bigger	больший 
big	большой
bikes	велосипеды 
bike	велосипед
billion	биллион, миллиард (амер.)
billy	билли 
bill	счет, законопроект
binary	набор из двух предметов 
binding	переплет
bind	связывать (не link)
bingo	лото 
bin	бункер (!NEW!)
biology	биология
birch	береза, розга
bird	птица
birthday	день рождения
birth	рождение
biscuit	сухое печенье
bishop	епископ, слон (шахм.)
bite	кусаться
biting	острый, резкий
bits	куски (!NEW!)
bitterly	горько, сильно
bitter	горький, мучительный
bit	кусочек, немного
blab	болтун, болтать (не от слова chat)
blackbird	черный дрозд
blackened	почерневший 
blacken	чернить, чернеть
black	черный
bladders	пузыри 
blades	лезвия 
blade	лезвие
blake	блак 
blame	считать виноватым, вина, упрек, порицание
blanket	одеяло
blank	пустой, чистый
blast	взрыв, взрывать, разрушать
blaze	пламя, пылать, гореть (не flame)
blazing	сверкание
bleach	белить (ткань)
bleeding	кровотечение 
blend	смешивать, смесь
blessed	благословлённый (!NEW!)
blessing	благословение
bless	благословлять
blew	дул (!NEW!)
blind	слепой
blinked	мигал 
blink	мерцание, отблеск, блеснуть, моргать
bliss	блаженство, счастье
blizzard	метель, пурга
blobs	капли (не drops) 
blob	капля, комочек (не drop)
blockade	блокада
blocked	блокированный 
blocks	кварталы (от block)
block	блок, квартал
block	блок, квартал
blonde	блондин
blond	белокурый
bloody	кровавый
blood	кровь
bloom	цветение
blossom	цветок (на деревьях, кустах), расцветать
blot	клякса, пятно, промокать
blouse	блуза
blown	сдутый 
blow	дуть
blue	синий
blunt	притуплять
blush	(по)краснеть; краска стыда, смущения
boarding	посадка (самолёта)
board	садиться на пароход, самолет; доска
boast	хвастовство, хвастать
boats	лодки (!NEW!)
boat	лодка, пароход
Bodies	органы(тела) 
bodily	лично, сам, собственной персоной (не myself)
body	тело
bog	трясина
boiled	вареный, кипяченый
boiler	котел
boil	кипятить, кипеть
boisterous	неистовый, шумный
boldly	смело 
bold	смелый (не dare)
bolt	молния
bomb	бомба, бомбить
bondage	рабство, зависимость (не slavery)
bones	кости (!NEW!)
bone	кость
bonfire	костер
bonnet	капор, дамская шляпа
bonus	премия
bookcase	книжный шкаф
booking	продажа билетов
booklet	брошюра, буклет
bookshelf	книжная полка
books	книги (от book)
book	книга, покупать (билет)
boost	повышение, повышать
booth	кабинка
boots	ботинки, сапоги (от boot)
booty	награбленное добро, добыча
boot	ботинок, сапог
border	граница
bore	скука
boring	скучный
borne	ограниченный, с узким кругозором, узколобый, закостенелый 
born	рожденный
borrowed	брал в долг, взятый в долг (от borrow)
borrow	брать в долг
bosom	грудь (не chest)
boss	начальник
bother	беспокойство, хлопоты; источник беспокойства
both	оба
bottles	бутылки (от bottle)
bottle	бутылка
bottom	дно, донышко; нижняя часть
bought	купил, купленный (от buy)
bough	ветвь, сук
boulevard	бульвар
boulevard	бульвар
bounce	отскакивать
boundary	граница
boundless	безграничный
bounds	граница, ограничение (от bound)
bound	непременный, обязательный
bout	черед, круг
bowed	поклонился 
bowl	кубок, чаша
bow	кланяться, сгибаться
boxes	ложи (от box)
boxing	бокс
box	ящик, коробка, ложа (театр.)
boy	мальчик, юноша
braces	подтяжки
brace	связывать, скреплять (не clamp)
bracket	скобка, подпорка, заключать в скобки
bradley	брадлей 
brain	мозг
brakes	тормоза (от brake)
brake	тормоз
branches	ветки (!NEW!)
branch	ветвь, отрасль
brandy	коньяк, бренди
brand	головня, клеймо, фабричная марка, сорт, клеймить
brass	установить
bravely	смело
bravery	храбрость, смелость
brave	храбрый, смелый
brawl	уличный скандал
breach	брешь, пробивать брешь
breadth	ширина, полотнище
bread	хлеб
breakfast	завтрак
break	ломать
breast	грудь
breathe	дышать
breathing	дыхание
breathless	запыхавшийся
breath	дыхание
bred	разводимый 
breeches	брюки, бриджи (не trousers)
breeder	производитель
breeding	разведение
breeds	породы 
breed	порода
breeze	легкий ветер
brewing	затевающий, надвигающийся (от brew)
brew	затевать, надвигаться
bricks	кубики (детские)
brick	кирпич
bride	невеста
bridge	мост
bridle	узда, повод, взнуздывать
briefcase	портфель
briefly	кратко, сжато
brief	короткий, сводка, резюме
brigade	бригада
brightly	ярко 
bright	ясный
brilliance	блеск, великолепие, яркость (не brightness)
brilliant	блестящий, брильянт
brim	край, поля (шляпы)
brings	приносит 
bring	приносить, приводить
brisk	живой, проворный
Britain	британия
British	британский
brittle	хрупкий, ломкий (не fragile)
broadcasting	радиовещание
broadcast	передача по радио
broadly	широко
broad	широкий
broken	разбитый, сломанный, нарушенный, ломаный (о языке)
broke	(с)ломал, сломанный (от break)
bronze	бронзовый
brooch	брошь
brood	высиживать (цыплят), выводок
brook	ручей
broom	метла, мести
brother	брат
brought	принес, принесенный (от bring)
brown	коричневый
brows	брови 
brow	бровь
bruises	ушибы 
bruise	ушибать, синяк, ушиб
brushed	чистил (не cleaned) 
brush	щетка, чистить щеткой
brutally	грубо, жестоко
brutal	грубый, жестокий
brute	зверь, скотина (не beast)
bubble	пузырь
bucket	ведро
buckwheat	гречиха
budge	шевелиться
buds	почка, расцветать (!NEW!)
bud	почка, бутон, давать почки, пускать ростки
buffalo	буйвол
buffer	буфер 
bugs	ошибки(дефекты) 
bug	клоп, насекомое, жук (амер.)
builder	строитель
building	здание
builds	строит 
build	строить
built	строил, построенный (от build)
bulb	луковица, электрическая лампочка
bulky	громоздкий
bulk	груз, величина
bullet	пуля
bully	запугивать (не scare)
bull	бык
bump	удар, толчок, шишка, ударять(ся), стукаться
bum	бездельник, бродяга
bunch	связка, пучок
bundle	узел, пакет
bungalow	(одноэтажная) дача, бунгало
bun	булочка
buoy	буй, бакен
burden	груз, бремя
bureau	бюро, контора
burglary	кража со взломом
burial	похороны
buried	спрятанный, похороненный (!NEW!)
burlap	холст, мешковина (не canvas)
burly	крепкий (!NEW!)
burn	гореть, жечь, сжигать
burst	заливаться, разражаться
bury	хоронить, прятать
bushes	кусты (!NEW!)
bush	куст
busily	деловито 
businessmen	бизнесмены (от businessman)
business	дело, бизнес, деловой
bustle	суетиться, суматоха, суета
busts	бюсты 
bust	бюст
busy	занятый
bus	автобус
bus	автобус
butcher	мясник
butler	дворецкий 
butter	масло
buttons	кнопки 
button	кнопка, пуговица
but	но
buyer	покупатель
buy	покупать, купить
buzzer	(фабричный) гудок
buzz	жужжать, гудеть, жужжание, гул
bye	пока (при прощании)
BYTES	байты 
byte	байт 
byword	поговорка, олицетворение (не dictum)
by	по, при, путем
cabbage	капуста
cabbage	капуста
cabinet	кабинет (не parlour)
cabin	каюта
cable	кабельный
cab	наемный экипаж, извозчик, такси
cache	тайник 
cadence	ритм, интонация
caesar	каесар 
cafe	кафе
cages	клетки 
cage	клетка, кабина
cakes	пироги (!NEW!)
cake	торт
calamity	стихийное бедствие, большое несчастье
calculated	расчетный 
calculate	рассчитывать, вычислять
caleb	калеб 
calendar	календарь
calf	слоненок, теленок, молодой кит
called	звонил, названный (от call)
calling	звонящий (от call)
call	звонить, называть (call)
calmly	тихо, спокойно (!NEW!)
calm	успокаивать
Cambridge	кембридж 
camera	фотоаппарат
came	пришел (от come)
campaign	компания, проводить кампанию
camp	лагерь
cancel	отменить, сократить
candidate	кандидат
candle	свеча
candling	миражирование
canes	тростники(трости) 
cane	трость, палка
canned	консервированный
cannon	пушка, орудие
cannot	не уметь (отрицательная форма глагола can)
canoe	челн, байдарка
canteen	столовая
canvas	холст, парус
canyon	каньон 
can	уметь, мочь
capable	способный
capacious	просторный, вместительный, объемистый
capacity	емкость, способность
cape	мыс
capitalist	капиталист, капиталистический
capital	столица
captain	капитан
captive	пленный
captivity	захват 
captured	захваченный 
capture	захват, поймать
cap	шапка
caravan	фургон
carbonate	карбонат 
carbon	углерод
cardboard	картон
cards	карточки (от card)
card	карточка
careers	профессии (от career)
career	профессия, карьера
carefully	осторожно, внимательно
careful	осторожный
careless	беззаботный
CAREs	заботится, переживает (от care)
care	заботиться, переживать
cargo	груз
caricature	карикатура
carla	карла 
carlos	карлос 
carpenter	плотник
carpet	ковер, устилать
carriage	вагон
carrier	носильщик, транспортное средство
carrot	морковь
carrying	перевозка
carry	нести, носить, возить
carter	возчик; ломовой извозчик ((!NEW!))
carton	коробка
cartoon	мультфильм
cart	телега, повозка
Carved	вырезанный (из дерева, из камня) ((!NEW!))
carve	вырезать, отрезать
car	машина
car	машина
case	случай, состояние
cash	деньги
casks	бочки 
castle	замок (не железный, а каменный)
cast	бросать, ронять, менять
casual	случайный (не random)
catching	ловля 
catch	уловить, понять, получить нагоняй
cathedral	собор
Catherine	кэтрин 
cats	коты 
cattle	(рогатый) скот
cat	кошка
caught	ловил ((!NEW!))
cauldron	котел 
cause	дело, причина
causing	порождение
caution	осторожность
cautiously	осторожно ((!NEW!))
cautious	осторожный
cavern	пещера 
cave	пещера
cavity	впадина, полость
ceased	прекратил 
cease	прекращать, останавливать
ceiling	потолок
celebrated	праздновал (от celebrate)
celebrate	праздновать
celebration	празднование
celebrity	известность, знаменитость
cellar	подвал, винный погреб
cells	ячейки 
cell	камера, ячейка
cement	цемент, основа
cemetery	кладбище
center	центр
central	центральный
centre	центр
centuries	столетия 
century	столетие, век
cent	цент
cereals	хлебные злаки, зерновые
ceremony	церемония
certainly	конечно
certainty	уверенность
certain	определенный, некоторый, некий
certificate	справка, аттестат
cessation	прекращение (не interrupt)
chain	цепь
chairman	председатель
chair	стул
Chaise	фаэтон 
chalked	рисовавший мелом 
chalk	мел
challenge	вызывать, вызов
chambers	палаты
chamber	палата
champagne	шампанское
championship	чемпионат, звание чемпиона
champion	чемпион
chances	возможности 
chance	случай, шанс
changed	поменял, изменил (от change)
changes	меняется (от change)
change	мелкие деньги, сдача, менять, пересаживаться
changing	изменение(замена) 
channel	канал
chapters	главы 
chapter	глава (книги)
chap	парень (разг.), малый
characteristic	особенность
character	характер
charges	издержки, расходы (от charge)
charge	плата, стоимость, взимать плату
charity	милосердие
charles	чарльз 
charley	чарли 
charlotte	шарлотта 
charming	очаровательный, прелестный
charms	обаяния 
charm	очарование
char	случайная работа 
chase	охотиться, преследовать, погоня, охота
chasing	уклоняющийся (от chase)
chatterbox	болтунья
chatter	болтать, болтовня
chat	беседа, болтовня (не blab)
chauffeur	шофер
cheaply	дешево, легко
cheap	дешевый
cheat	обманывать, надувать, обманщик, плут
checking	проверка 
check	проверять, регистрировать
cheeky	развязный
cheek	щека
cheerfully	бодро ((!NEW!))
cheerful	жизнерадостный, веселый
cheers	да здравствует (приветственное восклицание)
cheer	настроение
cheese	сыр
chemical	химический
chemistry	химия
chemist	химик, аптекарь
cheque	банковский чек
cherish	лелеять
cherries	вишни (от cherry)
cherry	вишня
chess	шахматы
chestnut	каштан
chest	грудь
Chevy	охота, погоня, гнаться (не chase)
chew	жевать
chicken	цыпленок, кура
chiefly	главным образом
chief	шеф, начальник
childhood	детство
childish	детский, ребяческий
children	дети
child	ребенок
chilly	холодный, сухой, чопорный
chill	холод, простуда
chimney	труба
China	фарфор
chin	подбородок
chip	обломок, осколок
chisel	резец, ваять, высекать
chivalrous	рыцарский
chocolate	шоколад
choice	выбор ( не choose)
choked	забитый 
choose	выбирать
chorus	хор
chosen	выбранный (от choose)
chose	выбирал, выбрал (от choose)
Christian	христианский, христианин
Christmas	рождество
Chris	крис 
chronicle	летопись, хроника, отмечать
chuckled	Хихикал 
churchill	черчилл 
churchyard	кладбище
church	церковь
church	церковь
cigarettes	сигареты (от cigarette)
cigarette	сигарета
cigar	сигара
cinema	кино
