affair; matter; thing; business	事情 shì qing 
to permit; to let sb do sth; to have sb do sthto yield	让 ràng 
topic; problem for discussion; exam question; subject; to inscribe; to mention; surname Ti; CL:个,道[dao4]	题 tí 
to play; toy; sth used for amusement; curio or antique (Taiwan pr. wan4); to have fun; to trifle with; to keep sth for entertainment	玩 wán 
to present; to introduce; to recommend; to suggest; to let know; to brief	介绍 jiè shào 
to sell; to betray; to spare no effort; to show off or flaunt	卖 mài 
to sing a song	唱歌 chàng gē 
to (someone); for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle)	给 gěi 
to speak; to say; to talk; to gossip; to tell stories; talk; word	说话 shuō huà 
to tell; to inform; to let know	告诉 gào su 
to think; to feel	觉得 jué de 
to try to find; to look for; to call on sb; to find; to seek; to return; to give change	找 zhǎo 
to understand; to know	懂 dǒng 
to wait for; to await; class (grade); et cetera; and so on; et al. (and other authors); after; as soon as; once;	等 děng 
to walk quickly; to march; to run	跑步 pǎo bù 
to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 撤走); to change (shape, form, meaning)	走 zǒu 
to want; will; going to (as future auxiliary); important; vital; may; must	要 yào 
towards; at; for	对 duì 
to wash; to bathe	洗 xǐ 
to wear; to put on; to dress; to bore through; pierce; perforate; penetrate; pass through; to thread	穿 chuān 
to wish for; to desire; hope CL:个	希望 xī wàng 
train station	火车站 huǒ chē zhàn 
trip; journey; tourism; travel; tour	旅游 lv3 yóu 
two (quantities); both; ounce; some; a few; tael; weight equal to 50 grams	两 liǎng 
(used after a verb) give it a go; to do (sth for a bit to give it a try); one time; once; in a while; all of a sudden; all at once;	一下 yī xià 
(used after a verb) to indicate the completion of an action	过 guo 
waiter; waitress; attendant; customer service personnel; CL:个	服务员 fú wù yuán 
watermelon; CL:条[tiao2]	西瓜 xī guā 
white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; surname Bai	白 bái 
wife; CL:个	妻子 qī zi 
wrist watch; CL:块[kuai4] ,只[zhi1] ,个	手表 shǒu biǎo 
younger brother; CL:个,位[wei4]	弟弟 dì di 
younger sister; fig. younger woman (esp. girl friend or rival); CL:个	妹妹 mèi mei 
you (polite); as opposed to informal you 你[ni3])	您 nín 
zero; nought; zero sign; fractional; fragmentary; odd (of numbers); (placed between two numbers to indicate a smaller quantity followed by a larger one); fraction; (in mathematics) remainder (after division)	零 líng 
