a barber; hairdressing	理发 lǐ fà 
broken; damaged; worn out; to break, split or cleave; to get rid of; to destroy; to break with; to defeat; to capture (a city etc); to expose the truth of	破 pò 
bustling with noise and excitement; lively	热闹 rè nao 
busy (telephone)	占线 zhàn xiàn 
but; however	可是 kě shì 
but; yet; however; while; to go back; to decline; to retreat; nevertheless; even though	却 què 
calm; cool-headed	冷静 lěng jìng 
capability; capable; able; ability; CL:个	能力 néng lì 
capital (city); CL:个	首都 shǒu dū 
careful; attentive; cautious	仔细 zǐ xì 
careless; sloppy; negligent; skimpy	马虎 mǎ hu 
careless; thoughtless	粗心 cū xīn 
cash	现金 xiàn jīn 
cause; origin; root cause; reason; CL:个	原因 yuán yīn 
century; CL:个	世纪 shì jì 
change (of money); small change; pocket money	零钱 líng qián 
Changjiang river; Yangtze river	长江 cháng jiāng 
characteristic (feature); trait; feature; CL:个	特点 tè diǎn 
cheerful; cheerily; delightful; pleasant; pleasantly; pleasing; happy; delighted	愉快 yú kuài 
child; CL:个	儿童 ér tóng 
chocolate (loanword); CL:块[kuai4]	巧克力 qiǎo kè lì 
circumstances; condition; term; factor; requirement; prerequisite; qualification; CL:个	条件 tiáo jiàn 
circumstances; state of affairs; situation; CL:个,种[zhong3]	情况 qíng kuàng 
classifier for trees, cabbages, plants etc	棵 kē 
client; customer; CL:位[wei4]	顾客 gù kè 
climate; atmosphere; situation; CL:种[zhong3]	气候 qì hòu 
cloud; CL:朵[duo3]	云 yún 
code; secret code; password; pin number	密码 mì mǎ 
common; joint; jointly; together; collaborative	共同 gòng tóng 
companionship; fellowship; friendship	友谊 yǒu yì 
compassion; relent; sympathize; sympathy	同情 tóng qíng 
complete; whole; totally; entirely	完全 wán quán 
complicated; complex	复杂 fù zá 
confidence; faith (in sb or sth); CL:个	信心 xìn xīn 
confidence; self-confidence	自信 zì xìn 
connection; contact; relation; in touch with; to integrate; to link; to touch	联系 lián xì 
consequently; as a result; thus	因此 yīn cǐ 
content; substance; details; CL:个,项[xiang4]	内容 nèi róng 
conveniently; in passing; without much extra effort	顺便 shùn biàn 
correct; proper	正确 zhèng què 
course of events; process; CL:个	过程 guò chéng 
courtesy; manners	礼貌 lǐ mào 
crucial point; crux; CL:个; key; crucial; pivotal	关键 guān jiàn 
danger; dangerous	危险 wēi xiǎn 
deep; late; profound; dark (of color, water etc); deep	深 shēn 
deliberately; on purpose	故意 gù yì 
desk; platform; stage; terrace; stand; support; station; broadcasting station; desk; classifier for vehicles or machines; Taiwan (abbr.)	台 tái 
despite; although; even though; in spite of; unhesitatingly; do not hesitate (to ask, complain etc); (go ahead and do it) without hesitating	尽管 jǐn guǎn 
detailed; in detail; minute	详细 xiáng xì 
development; growth; to develop; to grow; to expand	发展 fā zhǎn 
dialog; CL:个	对话 duì huà 
diary; CL:则[ze2] ,本[ben3] ,篇[pian1]	日记 rì jì 
difference; to distinguish; to discriminate; to make a distinction; CL:个	区别 qū bié 
difficult to deal with; difficult to endure; ferocious; radical; serious; terrible; violent; tremendous; awesome	厉害 lì hai 
dining-hall; dining-room; restaurant; CL:间[jian1] ,家[jia1]	餐厅 cān tīng 
direction; orientation; path to follow; CL:个	方向 fāng xiàng 
direct; opposite: indirect 间接; immediate; directly; straightforward	直接 zhí jiē 
dirty	脏 zāng 
disappointed; to lose hope; to despair	失望 shī wàng 
distance; to be apart; CL:个	距离 jù lí 
doctor; court academician (in feudal China); Ph.D.	博士 bó shì 
doctor; minister of state (in pre-Han states); CL:个,位[wei4]	大夫 dài fu 
don't tell me...; could it be that...?	难道 nán dào 
drawing room (room for arriving guests); living room; CL:间[jian1]	客厅 kè tīng 
dream; CL:场[chang2] ,个	梦 mèng 
due to; as a result of; thanks to; owing to; since; because	由于 yóu yú 
dumpling; pot-sticker; CL:个,只[zhi1]	饺子 jiǎo zi 
each; every	各 gè 
each other; mutually; mutual	互相 hù xiāng 
earn; make a profit	赚 zhuàn 
economy; economic	经济 jīng jì 
embassy; CL:座[zuo4] ,个	大使馆 dà shǐ guǎn 
emphasis; focal point; priority; key; with the emphasis on; focusing on	重点 zhòng diǎn 
entrance	入口 rù kǒu 
envelope; CL:个	信封 xìn fēng 
envious; envy; to admire	羡慕 xiàn mù 
error; mistake; mistaken; CL:个	错误 cuò wù 
especially; particularly	尤其 yóu qí 
esteem; respect; to honor; to value sth	尊重 zūn zhòng 
etc (indicating the end of an enumeration)	等 děng 
even if; even though; given that	即使 jí shǐ 
everything; every; all	一切 yī qiè 
exchange; give-and-take; to exchange; to alternate; communication; alternating current (electricity)	交流 jiāo liú 
excited; excitement	兴奋 xīng fèn 
exhausted; poor	穷 qióng 
exist; deposit; store; keep; survive	存 cún 
experience; to experience; to go through; CL:个, 次[Ci4]	经历 jīng lì 
explanation; to explain; to interpret; to resolve; CL:个	解释 jiě shì 
(express) thanks; gratitude; grateful; thankful; thanks	感谢 gǎn xiè 
expressway; highway; freeway	高速公路 gāo sù gōng lù 
extort; knock; to strike; to knock (at a door); to hit	敲 qiāo 
fake; false; artificial; to borrow; if; suppose	假 jiǎ 
famous; noted; well-known; celebrated	著名 zhù míng 
father; also pr. with light tone [fu4 qin5]; CL:个	父亲 fù qīn 
fax; facsimile	传真 chuán zhēn 
feeling; emotion; sensation; likes and dislikes; deep affection for sb or sth; relationship (i.e. love affair); CL:个,种[zhong3]	感情 gǎn qíng 
festival; holiday; node; joint; section; segment; part; to economize; to save; to abridge; moral integrity; classifier for segments, e.g. lessons, train wagons, biblical verses; CL:个	节 jié 
finally; in the end; when all is said and done; after all; to the end; to the last	到底 dào dǐ 
(financial etc) difficulty; problem; issue; CL:个	困难 kùn nan 
finger; to point at or to; to indicate or refer to; to depend on; to count on; (of hair) to stand on end	指 zhǐ 
fire; CL:把[ba3]	火 huǒ 
first (of all); in the first place	首先 shǒu xiān 
flavor; smell; hint of	味道 wèi dào 
fluent	流利 liú lì 
foliage; leaf; CL:片[pian4]	叶子 yè zi 
forest; CL:片[pian4]	森林 sēn lín 
forever; eternal	永远 yǒng yuǎn 
for example; for instance; such as	例如 lì rú 
for example; for instance; such as	比如 bǐ rú 
formal; official	正式 zhèng shì 
form; table; CL:张[zhang1] ,份[fen4]	表格 biǎo gé 
fragrant; sweet smelling; aromatic; savory or appetizing; (to eat) with relish; (of sleep) sound; perfume or spice; joss or incense stick; CL:根[gen1]	香 xiāng 
free (of charge)	免费 miǎn fèi 
friendly; amicable	友好 yǒu hǎo 
fruit juice	果汁 guǒ zhī 
full; filled; packed; fully; completely; quite; to reach the limit; to satisfy; satisfied; contented; to fill; abbr. for Manchurian	满 mǎn 
furniture; CL:件[jian4] ,套[tao4]	家具 jiā jù 
gas station	加油站 jiā yóu zhàn 
gender; sex; distinguishing between the sexes	性别 xìng bié 
gentle; relaxed	轻松 qīng sōng 
genuine; real; true; genuinely	真正 zhēn zhèng 
grammar	语法 yǔ fǎ 
grandson (paternal)	孙子 sūn zi 
grape	葡萄 pú tao 
guarantee; to guarantee; to ensure; to safeguard; to pledge; CL:个	保证 bǎo zhèng 
hair; feather; down	毛 máo 
handsome; graceful; smart; commander in chief	帅 shuài 
happiness; happy; blessed; well-being	幸福 xìng fú 
hard; exhausting; with much toil; thanks for your trouble	辛苦 xīn kǔ 
have no choice or option but to; cannot but; have to; can't help it; can't avoid	不得不 bù dé bù 
heavy; serious	重 zhòng 
honest; honesty; honorable; truthful	诚实 chéng shí 
hot (spicy); pungent	辣 là 
however; yet; but	然而 rán ér 
humor; humorous	幽默 yōu mò 
identical; same	相同 xiāng tóng 
if not; otherwise; else; or else	否则 fǒu zé 
if only; so long as	只要 zhǐ yào 
if	要是 yào shi 
impression; reflection; perception; CL:个	印象 yìn xiàng 
in all places; everywhere	到处 dào chù 
in confusion or disorder; in a confused state of mind; disorder; upheaval; riot; illicit sexual relations; to throw into disorder; to mix up; indiscriminate; random; arbitrary	乱 luàn 
inconvenient; troublesome; to trouble or bother sb; to put sb to trouble	麻烦 má fan 
indeed; really; reliable; real; true	确实 què shí 
information; news; message	信息 xìn xī 
in keeping with; in accordance with; tallying with; in line with; to agree with; to accord with; to conform to; to correspond with; to manage; to handle	符合 fú hé 
in normal times; in peacetime	平时 píng shí 
in reality; honestly; really; verily; concrete	实在 shí zài 
inside; inner; internal; within; interior	内 nèi 
intellectual; knowledge-related; knowledge; CL:门[men2]	知识 zhī shi 
interesting; fascinating; amusing	有趣 yǒu qù 
international	国际 guó jì 
in the future; future; the future; CL:个	将来 jiāng lái 
in time; promptly; without delay; timely	及时 jí shí 
investigation; inquiry; to investigate; to survey; survey; (opinion) poll; CL:项[xiang4] ,个	调查 diào chá 
it is a pity; what a pity; (it's) too bad	可惜 kě xī 
joke; jest; CL:个	笑话 xiào huà 
just; barely; exactly; hard; firm; strong	刚 gāng 
just (in time); just right; just enough; to happen to; to chance to; by chance; it just so happens that	正好 zhèng hǎo 
key; CL:把[ba3]	钥匙 yào shi 
kilometer	公里 gōng lǐ 
kitchen; CL:间[jian1]	厨房 chú fáng 
knife; CL:把[ba3]	刀 dāo 
lack; shortage of; shortfall; to be short (of); to lack	缺少 quē shǎo 
lad; young fellow; young man; young guy; youngster; CL:个	小伙子 xiǎo huǒ zi 
landlord	房东 fáng dōng 
language; CL:门[men2] ,种[zhong3]	语言 yǔ yán 
large place used for a specific purpose; stage; scene (of a play); threshing floor; classifier for sporting or recreational activities; classifier for number of exams	场 chǎng 
law; CL:条[tiao2] , 套[tao4] , 个	法律 fǎ lv4 
lawyer	律师 lv4 shī 
lazy	懒 lǎn 
life; activity; to live; livelihood	生活 shēng huó 
life force; vitality;	生意 shēng yì 
life; living; biological; CL:个	生命 shēng mìng 
light (not heavy); light; easy; gentle; soft; reckless; unimportant; frivolous; small in number; unstressed; neutral	轻 qīng 
light (ray); light; ray; CL:道[dao4]; bright; only; merely; to use up	光 guāng 
lively; vivacious; brisk; active	活泼 huó po 
low; beneath; to lower (one's head); to let droop; to hang down; to incline	低 dī 
magazine; CL:本[ben3] ,份[fen4] ,期[qi1]	杂志 zá zhì 
Mandarin (common language); Putonghua (common speech of the Chinese language); ordinary speech	普通话 pǔ tōng huà 
manner; air; looks; aspect	样子 yàng zi 
manner; bearing; attitude; approach; CL:个	态度 tài du 
master; qualified worker; respectful form of address for older men; CL:个,位[wei4] ,名[ming2]	师傅 shī fu 
master's degree; learned person	硕士 shuò shì 
material; data; makings; stuff; CL:个,种[zhong3]	材料 cái liào 
merit; benefit; strong point; advantage; CL:个	优点 yōu diǎn 
method; way; means; CL:个	方法 fāng fǎ 
mineral spring water; CL:瓶[ping2] ,杯[bei1]	矿泉水 kuàng quán shuǐ 
mirror; CL:面[mian4] ,个	镜子 jìng zi 
mission; assignment; task; duty; role; CL:项[xiang4] ,个	任务 rèn wu 
mood; frame of mind; CL:个	心情 xīn qíng 
moreover; furthermore; in addition; besides; and	并且 bìng qiě 
mother; also pr. with light tone [mu3 qin5]; CL:个	母亲 mǔ qīn 
movement; motion; action; CL:个	动作 dòng zuò 
nationality; ethnic group; CL:个	民族 mín zú 
nationality	国籍 guó jí 
nature (temperament); nature; disposition; temperament; character; CL:个	性格 xìng gé 
nervous; keyed up; intense; tense; strained; in short supply; scarce; CL:阵[zhen4]	紧张 jǐn zhāng 
news; information; CL:条[tiao2]	消息 xiāo xi 
next; secondly	其次 qí cì 
nice and cold; pleasantly cool	凉快 liáng kuai 
no matter (what, how); regardless of; no matter	不管 bù guǎn 
no matter what or how; regardless of whether...	无论 wú lùn 
nonsense; bored	无聊 wú liáo 
not only (this one); not just (...) but also	不仅 bù jǐn 
novel; fiction; CL:本[ben3] ,部[bu4]	小说 xiǎo shuō 
number; CL:堆[dui1] ,个	号码 hào mǎ 
numeral; digit; number; figure; amount; digital (electronics etc); CL:个	数字 shù zì 
nurse; CL:个	护士 hù shi 
occasionally; once in a while; sometimes	偶尔 ǒu ěr 
occupation; profession; vocation; professional	职业 zhí yè 
ocean; CL:个	海洋 hǎi yáng 
often; frequently	往往 wǎng wǎng 
only; merely; no more than; but; however; anyway (to get back to a previous topic)	不过 bú guò 
on time; before deadline; on schedule	按时 àn shí 
on time; punctual; on schedule	准时 zhǔn shí 
opinion; suggestion; idea; objection; complaint; CL:点[dian3] ,条[tiao2]	意见 yì jiàn 
opposite; contrary	相反 xiāng fǎn 
opposite	对面 duì miàn 
original; former; originally; formerly; at first; so... actually	原来 yuán lái 
original; originally; at first; it goes without saying; of course	本来 běn lái 
outstanding; excellent	优秀 yōu xiù 
page; leaf	页 yè 
(particle equivalent to 啊 after a vowel, expressing surprise or doubt)	呀 ya 
part; share; portion; copy; classifier for gifts, newspaper, magazine, papers, reports, contracts etc	份 fèn 
part; share; section; piece; CL:个	部分 bù fen 
party; gathering; to meet; to get together	聚会 jù huì 
pay; payment	付款 fù kuǎn 
percent;	百分之 bǎi fēn zhī 
perhaps; maybe; probably	也许 yě xǔ 
perspiration; sweat; Khan (Persian or Mongol king or emperor); Khan (name); to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection); CL:滴[di1] ,头[tou2] ,身[shen1]	汗 hàn 
piece of writing; sheet; bound set of bamboo slips used for record keeping (old); classifier for written items: chapter, article	篇 piān 
pitiful; pathetic	可怜 kě lián 
place; site; location; venue; CL:個|个[ge4];	地点 dì diǎn 
plan; idea; decision; CL:个	主意 zhǔ yi 
plan; project; program; to plan; to map out; CL:个,项[xiang4]	计划 jì huà 
plastic bag	塑料袋 sù liào dài 
play; show; performance; exhibition; to perform; to act; to demonstrate; CL:场[chang3]	表演 biǎo yǎn 
play the piano	弹钢琴 tán gāng qín 
police; policeman; policewoman; CL:个	警察 jǐng chá 
pollution; contamination; CL:个	污染 wū rǎn 
(possessive particle, literary equivalent of 的); him; her; its	之 zhī 
post office; CL:家[jia1] ,个	邮局 yóu jú 
pressure	压力 yā lì 
price; CL:个	价格 jià gé 
professor; to instruct; to lecture on; CL:个,位[wei4]	教授 jiào shòu 
proof; certificate; identification; testimonial; to prove; to testify; to confirm the truth of; CL:个	证明 zhèng míng 
proud of oneself; pleased with oneself; complacent	得意 dé yì 
purpose; aim; goal; target; objective; CL:个	目的 mù dì 
qualified; meeting a standard; eligible (voter)	合格 hé gé 
quality; mass (in physics); CL:个	质量 zhì liàng 
quantifier for the number of trips or runs made	趟 tàng 
quantity; amount; CL:个	数量 shù liàng 
recruitment; to invite applications for a job	招聘 zhāo pìn 
regarding; as far as sth is concerned; with regards to	对于 duì yú 
regular; normal; ordinary	正常 zhèng cháng 
reporter; journalist; CL:个	记者 jì zhě 
research; a study; CL:項|项[xiang4];	研究 yán jiū 
respect; aspect; field; side; CL:个	方面 fāng miàn 
responsibility; blame; duty; CL:个	责任 zé rèn 
result; effect; quality; CL:个	效果 xiào guǒ 
result; outcome; effect; in the event; so that	结果 jié guǒ 
rich; plentiful; abundant	丰富 fēng fù 
rich; surname Fu	富 fù 
roast duck	烤鸭 kǎo yā 
romance; love (romantic); CL:个	爱情 ài qíng 
romantic	浪漫 làng màn 
roughly; probably; rough; approximate; about	大概 dà gài 
rubber; an eraser; CL:块[kuai4]	橡皮 xiàng pí 
rubbish bin	垃圾桶 lā jī tǒng 
safe; secure; safety; security	安全 ān quán 
salesperson; CL:个	售货员 shòu huò yuán 
salt; CL:粒[li4]	盐 yán 
salty	咸 xián 
scenery; scene; landscape; view	景色 jǐng sè 
scheduled flight; flight number; plane; scheduled sailing; sailing number; passenger ship	航班 háng bān 
school term; semester; CL:个	学期 xué qī 
science; scientific knowledge; scientific; CL:门[men2] ,个,种[zhong3]	科学 kē xué 
scoop; ladle; CL:把[ba3]	勺子 sháo zi 
seat; base; stand; classifier for buildings, mountains and similar immovable objects; CL:个	座 zuò 
second (of time); unit of angle or arc equivalent to one sixtieth of a degree	秒 miǎo 
sequence; order	顺序 shùn xù 
serious; severe; critical; grave	严重 yán zhòng 
shopping	购物 gòu wù 
since; as; this being the case	既然 jì rán 
skill; art; kung fu; labor; effort	功夫 gōng fu 
skin; CL:种[zhong3]	皮肤 pí fū 
smoothly; without a hitch	顺利 shùn lì 
snack; refreshments; CL:家[jia1]	小吃 xiǎo chī 
society; CL:个	社会 shè huì 
socks; stockings; CL:只[zhi1] ,对[dui4] ,双[shuang1]	袜子 wà zi 
sofa; CL:条[tiao2] ,张[zhang1]	沙发 shā fā 
so much so that; even	甚至 shèn zhì 
sorry; We apologize!; to feel apologetic; to regret	抱歉 bào qiàn 
soup; broth; hot water	汤 tāng 
sour; tart; sick at heart; grieved; sore; aching; acid	酸 suān 
specialist; specialized; customized	专门 zhuān mén 
specialty; specialized field; main field of study (at university); major; professional; CL:门[men2] ,个	专业 zhuān yè 
spectacles; eyeglasses; CL:副[fu4]	眼镜 yǎn jìng 
spectators; audience; visitors (to an exhibition etc)	观众 guān zhòng 
speed; rate; velocity; CL:个	速度 sù dù 
splendid; brilliant	精彩 jīng cǎi 
steamed stuffed bun; CL:个	包子 bāo zi 
still; yet	仍然 réng rán 
strength; CL:把[ba3]	力气 lì qi 
strict; stringent; tight; rigorous	严格 yán gé 
stupid; foolish; silly; slow-witted; clumsy	笨 bèn 
suburban district; outskirts; suburbs; CL:个	郊区 jiāo qū 
success; to succeed; CL:次[ci4] ,个	成功 chéng gōng 
sugar; sweets; candy; CL:颗[ke1] ,块[kuai4]	糖 táng 
suitable; fitting; decent; to fit	合适 hé shì 
Sunday	礼拜天 lǐ bài tiān 
sunlight; sunshine; transparent (open to public scrutinity); CL:线[xian4]	阳光 yáng guāng 
surroundings; environment; to encompass	周围 zhōu wéi 
table tennis; ping-pong; ping pong; table tennis ball; CL:个	乒乓球 pīng pāng qiú 
take summer vacation	放暑假 fàng shǔ jià 
technology; technique; skill; CL:门[men2] ,种[zhong3] ,项[xiang4]	技术 jì shù 
temperament; disposition; temper; CL:个	脾气 pí qi 
temperature; CL:个	温度 wēn dù 
temporary; provisional; for the time being	暂时 zàn shí 
ten million; countless; many; one must by all means	千万 qiān wàn 
tennis; CL:个	网球 wǎng qiú 
text message; SMS	短信 duǎn xìn 
the Earth; planet; CL:个	地球 dì qiú 
the Great Wall	长城 cháng chéng 
the Internet	互联网 hù lián wǎng 
then; at that time; while	当时 dāng shí 
there's not enough time (to do sth); it's too late (to do sth)	来不及 lái bu jí 
there's still time; able to do sth in time	来得及 lái de jí 
thereupon; as a result; consequently; thus; hence	于是 yú shì 
thick; deep or profound; kind; generous; rich or strong in flavor; to favor; to stress	厚 hòu 
tiger; CL:只[zhi1]	老虎 lǎo hǔ 
to accept a job offer; to apply for an advertised position	应聘 yìng pìn 
to accept; to receive	接受 jiē shòu 
to accompany; to keep sb company	陪 péi 
to accumulate; accumulation; cumulative; cumulatively	积累 jī lěi 
to act (in a play); to perform; to put on (a performance); performance; concert; show; CL:场[chang2] ,次[ci4]	演出 yǎn chū 
to act on; to affect; action; function; activity; impact; result; effect; purpose; intent; to play a role; corresponds to English -ity, -ism, -ization; CL:个	作用 zuò yòng 
to advance; to conduct; underway; in progress; to do; to carry out; to carry on; to execute	进行 jìn xíng 
to advertise; a commercial; advertisement; CL:项[xiang4]	广告 guǎng gào 
to apologize; to make an apology	道歉 dào qiàn 
to appear; to arise; to emerge; to show up	出现 chū xiàn 
to apply for sth; application (form etc); CL:份[fen4]	申请 shēn qǐng 
to arrange; arrangement; array; permutation (i.e. ordered choice of n elements out of m)	排列 pái liè 
to arrange; to plan; to set up	安排 ān pái 
to arrange; to tidy up; to sort out; to straighten out; to list systematically; to collate (data, files); to pack (luggage)	整理 zhěng lǐ 
to attach importance to sth; to value	重视 zhòng shì 
to attract (interest, investment etc); CL:个	吸引 xī yǐn 
to be born	出生 chū shēng 
to become; to turn into	成为 chéng wéi 
to be defeated; to lose; to fail (e.g. experiments); failure; defeat; CL:次[ci4]	失败 shī bài 
to be familiar with; to know well	熟悉 shú xī 
to be in charge of; to take responsibility for; to be to blame; conscientious	负责 fù zé 
to be in favor of; to support; to back; support; backing; to stand by; CL:个	支持 zhī chí 
to believe; to think; to consider; to be under the impression	以为 yǐ wéi 
to be; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at	当 dāng 
to be patient; patient (adjective)	耐心 nài xīn 
to be startled; to be shocked; to be amazed	吃惊 chī jīng 
to be sure; to be certain; sure; certain; definite; to confirm; to affirm; affirmative	肯定 kěn dìng 
to be trapped; to surround; to be hard-pressed; stranded; destitute	困 kùn 
to be worth; to deserve	值得 zhí de 
to call attention to; to warn of; to remind	提醒 tí xǐng 
to carry; to lift; to raise	提 tí 
to catch and hold on; to continue; to go on to do sth; to follow; to carry on; then; after that; subsequently; to proceed; to ensue; in turn; in one's turn	接着 jiē zhe 
to cause; to enable; to use; to employ; to make; to send; to instruct sb to do sth; envoy; messenger	使 shǐ 
to change; to alter; to transform	改变 gǎi biàn 
to cheat; to swindle; to deceive; to fool; to hoodwink; to trick	骗 piàn 
to come from (a place); From: (in email header)	来自 lái zì 
to compete; competition	竞争 jìng zhēng 
to comprehend; to understand; comprehension; understanding	理解 lǐ jiě 
to conduct; to hold	举办 jǔ bàn 
to congratulate; congratulations; CL:个	祝贺 zhù hè 
to consult; to talk over; to discuss	商量 shāng liang 
to continue; to proceed with; to go on with	继续 jì xù 
to continue upholding; to remain committed to; persistence; to persist; to uphold; to insist on; persevere	坚持 jiān chí 
to cough; CL:阵[zhen4]	咳嗽 ké sou 
to criticize; criticism; CL:个	批评 pī píng 
to cultivate; to raise; to form (a habit); to acquire	养成 yǎng chéng 
to dare; daring; (polite) may I venture	敢 gǎn 
to decide; to determine; CL:个	判断 pàn duàn 
to decorate; to dress; to make up; to adorn; manner of dressing; style of dress	打扮 dǎ ban 
to descend; to land	降落 jiàng luò 
to die; impassable; uncrossable; inflexible; rigid; extremely	死 sǐ 
to discuss; to chat; to converse; to talk; to speak	谈 tán 
to dislike; to loathe; disagreeable; troublesome; annoying; nasty; to hate doing something	讨厌 tǎo yàn 
to disturb; to bother; to trouble	打扰 dǎ rǎo 
to divide into ten equal parts; very; hundred percent; completely; extremely; utterly; absolutely	十分 shí fēn 
to do (some work); to manage; to work	干 gàn 
to do (to manage); to manage; to handle; to play with; to fool with; to mess with; to fix; to toy with	弄 nòng 
to do without; to economize; to save; to omit; to leave out; province; CL:个	省 shěng 
to drink a toast; Cheers! (proposing a toast); Here's to you!; Bottoms up!; lit. dry cup	干杯 gān bēi 
to economize; to conserve (resources); economy; frugal	节约 jié yuē 
to educate; to teach; education	教育 jiào yù 
to empty; vacant; unoccupied; space; leisure; free time;	空 kōng 
to encourage	鼓励 gǔ lì 
to estimate; to reckon; CL:个	估计 gū jì 
to excite; to agitate; exciting	激动 jī dòng 
to excuse; to forgive; to pardon	原谅 yuán liàng 
to exercise; to move about; to operate; activity; loose; shaky; active; movable; maneuver; to use connections; CL:项[xiang4] ,个	活动 huó dòng 
to experience; experience	经验 jīng yàn 
to explain; to illustrate; explanation; directions; caption; CL:个	说明 shuō míng 
to express; to show; to say; to state; to indicate; to mean	表示 biǎo shì 
to fall; to drop; to lag behind; to lose; to go missing; to reduce; fall (in prices); to lose (value, weight etc); to wag; to swing; to turn; to change; to exchange; to swap; to show off; to shed (hair)	掉 diào 
to fear; to dread; I'm afraid that...; perhaps; maybe	恐怕 kǒng pà 
to feel happy; to rejoice; to have a great time; to make fun of sb	开心 kāi xīn 
to feel; to become aware of; feeling; sense; perception; CL:个	感觉 gǎn jué 
to feel unwell; to suffer pain; to be difficult to bear	难受 nán shòu 
to fight against; to oppose; to be opposed to; opposition	反对 fǎn duì 
to fill a job vacancy; to fill in a blank (e.g. on questionnaire or exam paper)	填空 tián kòng 
to fit; to suit	适合 shì hé 
to follow; from; it is for...to; reason; cause; because of; due to; to; to leave it (to sb); by (introduces passive verb)	由 yóu 
to give a discount	打折 dǎ zhé 
to give or have an injection	打针 dǎ zhēn 
to give rise to; to lead to; to cause; to arouse	引起 yǐn qǐ 
to give; to help; to get along with; and; with	与 yǔ 
to go on an official or business trip	出差 chū chāi 
to graduate; graduation; to finish school	毕业 bì yè 
to greet sb by word or action; to give prior notice	打招呼 dǎ zhāo hu 
to grieve; to be broken-hearted; to feel deeply hurt; sad	伤心 shāng xīn 
to guess	猜 cāi 
