a barber; hairdressing	理发 lǐ fà 
a dream; an ideal; perfection; ideal; perfect; desirable; CL:个	理想 lǐ xiǎng 
(a) drink; beverage	饮料 yǐn liào 
a drop; to drip	滴 dī 
adult;	成人 chéng rén 
advanced (technology); to advance	先进 xiān jìn 
advantageous; to have advantages; favorable	有利 yǒu lì 
adviser; consultant	顾问 gù wèn 
a fact; the fact that; CL:个	事实 shì shí 
(a feeling of) shame	羞耻 xiū chǐ 
affair; matter; thing; business	事情 shì qing 
affectionate; intimate; warm-hearted	亲热 qīn rè 
a foot's move sways the balance (idiom); to hold the balance of power; to play the decisive role	举足轻重 jǔ zú qīng zhòng 
after all; all in all; when all is said and done; in the final analysis	毕竟 bì jìng 
after all (when all is said and done); actually; outcome; result	究竟 jiū jìng 
afternoon; p.m.; CL:个[ge4]	下午 xià wǔ 
after one's heart (idiom); gratifying and satisfactory; everything one could wish	称心如意 chèn xīn rú yì 
afterwards; later	后来 hòu lái 
again; once more; re-; second; another; then (after sth, and not until then)	再 zài 
again; once more; re-	重新 chóng xīn 
age; era; epoch; period; CL:个	时代 shí dài 
a given day (calendar); days of one's life; time	日子 rì zi 
agonize; agony; annoyance; upset; vexation; worries	烦恼 fán nǎo 
a great deal of; many; a lot of; much	许多 xǔ duō 
agreement; pact; protocol; CL:项[xiang4]	协议 xié yì 
agriculture; farming	农业 nóng yè 
ahead; in front; preceding; above	前面 qián miàn 
a heavy load and a long road; fig. to bear heavy responsibilities through a long struggle (cf Confucian Analects, 8.7)	任重道远 rèn zhòng dào yuǎn 
a hundred million; 100,000,000; many	亿 yì 
a hybrid	杂交 zá jiāo 
air; atmosphere	空气 kōng qì 
air conditioning	空调 kōng tiáo 
airplane; CL: 架[jia4]	飞机 fēi jī 
airport; airfield; CL:家[jia1] ,处[chu4]	机场 jī chǎng 
alarm; alert; disturb	惊动 jīng dòng 
alcohol; ethanol CH3CH2OH; ethyl alcohol; also written 乙醇; grain alcohol	酒精 jiǔ jīng 
a lesson; a moral; to chide sb; to lecture sb	教训 jiào xun 
a list; to list; to enumerate	列举 liè jǔ 
a little; a bit; drop (of liquid); stain; spot; speck; jot; dot stroke (in Chinese characters); decimal point; point; mark (of degree or level); a place (with certain characteristics); iron bell; o’clock; some; (point) unit of measurement for type; to touch on briefly; to make clear; to light; to ignite; to kindle; period of time at night (24 minutes) (old); a drip; to dibble; classifier for small indeterminate quantities	点 diǎn 
a little (bit)	一点儿 yī diǎn er 
a little bit	稍微 shāo wēi 
all along; the whole time; constantly; earlier; lately	一向 yí xiàng 
all-around; comprehensive; total; overall	全面 quán miàn 
all, both; entirely (due to) each; even; already	都 dōu 
all; each and every; in all cases	皆 jiē 
alliance; union; coalition	联盟 lián méng 
all of a sudden; hurriedly	仓促 cāng cù 
all over; from head to foot	浑身 hún shēn 
all; to possess; to have; to own	所有 suǒ yǒu 
almost; nearly; close to	将近 jiāng jìn 
almost; nearly; more or less	差不多 chà bu duō 
almost; nearly; practically	几乎 jī hū 
a loan; to provide a loan (e.g. bank); CL:笔[bi3]	贷款 dài kuǎn 
along with; in the wake of; following	随着 suí zhe 
aloof; indifferent; unconcerned	无动于衷 wú dòng yú zhōng 
already	已经 yǐ jīng 
also; too; (in classical Chinese) final particle serving as copula	也 yě 
also	亦 yì 
although…still…; even if…nevertheless...	虽然…但是… suī rán …dàn shì … 
altogether; in sum; in all; in total	总共 zǒng gòng 
altogether	一共 yī gòng 
always; all along	向来 xiàng lái 
always; at all times; never (if used in negative sentence)	从来 cóng lái 
always; throughout (a period of time); (of) all-time	历来 lì lái 
always	总是 zǒng shì 
a (married) couple; husband and wife; CL:对[dui4]	夫妇 fū fù 
amazed; astonished; to surprise; amazing; astonishment; awe	惊讶 jīng yà 
amazing; terrific; extraordinary	了不起 liǎo bu qǐ 
ambiguous; vague	含糊 hán hu 
ambition; resolve; backbone; drive; spirit	志气 zhì qì 
ambition; wild schemes; careerism	野心 yě xīn 
ambulance; CL:辆[liang4]	救护车 jiù hù chē 
ambush	埋伏 mái fú 
amiable; cute; lovely	可爱 kě ài 
amiable; friendliness; gracious; hospitality; intimate; cordial; kind; close and dear; familiar	亲切 qīn qiè 
among; in; included among these	其中 qí zhōng 
among the people; popular; folk; non-governmental; involving people rather than governments	民间 mín jiān 
amount; sum of money; fixed number	数额 shù é 
ample; complete; hundred percent; a pure shade (of some color)	十足 shí zú 
a musical score; sheet music	乐谱 yuè pǔ 
analogy; metaphor; figure of speech; figuratively	比喻 bǐ yù 
an assertion; to declare; to state	陈述 chén shù 
an association; a society; CL:个,家[jia1]	协会 xié huì 
an attack (esp. surprise attack); raid; to attack	袭击 xí jī 
an attack; under attack; a shock	冲击 chōng jī 
ancestor; forebears	祖先 zǔ xiān 
ancestral land CL:个; homeland; used for PRC	祖国 zǔ guó 
anchorage; mooring (of a ship)	停泊 tíng bó 
ancient times; olden times	古代 gǔ dài 
and then (what follows next)	进而 jìn ér 
and; together with; with; sum; union; peace; harmony; surname He	和 hé 
anesthesia; fig. to poison (sb's mind)	麻醉 má zuì 
an exit; to speak; to export; (of a ship) to leave port; CL:个	出口 chū kǒu 
angle; point of view	角度 jiǎo dù 
angry; indignant	愤怒 fèn nù 
angry; mad; offended; animated; to get angry; to be enraged; to take offense; animation	生气 shēng qì 
animal; CL:只[zhi1] ,群[qun2] ,个	动物 dòng wù 
animal from the Chinese zodiac; one of the twelve animals symbolic of the earthly branches 地支[di4 zhi1]	生肖 shēng xiào 
an instant (Sanskrit: ksana); split second; the twinkling of an eye	刹那 chà nà 
anniversary; annual	周年 zhōu nián 
announcement (written, on billboard, letter, newspaper or website); to post information; a notice	启事 qǐ shì 
an office; business premises; a bureau; CL:间[jian1]	办公室 bàn gōng shì 
(an official) standard; norm; criterion; CL:个	标准 biāo zhǔn 
an outline; silhouette	轮廓 lún kuò 
an overall plan taking into account all factors	统筹兼顾 tǒng chóu jiān gù 
answer; solution; CL:个	答案 dá àn 
ant;	蚂蚁 mǎ yǐ 
an unforeseen event; accident; misfortune	变故 biàn gù 
anxiety; anxious	焦急 jiāo jí 
anxious for quick results (idiom); to demand instant success; impatient for result; impetuous	急于求成 jí yú qiú chéng 
anxious; worried; uneasy; to worry; to be anxious	担心 dān xīn 
any; whatever; whichever; whatsoever	任何 rèn hé 
apartment building; block of flats; CL:套[tao4]	公寓 gōng yù 
a period in time or history; period; time (interval); phase; CL:个	时期 shí qī 
a person; a character (in a play, novel etc); a protagonist; CL:个	人物 rén wù 
(a person's) age; CL:把[ba3] ,个	年龄 nián líng 
a person's preferences; tastes (in food); flavor	口味 kǒu wèi 
a person's talent; talented person; distinguished person; a talent (worth head-hunting); person's looks; an attractive woman; used interchangeably with 人材; CL:个	人才 rén cái 
aperture; opening; hole	孔 kǒng 
apex; crown of the head; top; roof; to carry on the head; to push to the top; to go against; most; to replace; to substitute; classifier for headwear, hats, veils etc; to agree or support (internet slang, similar to digg)	顶 dǐng 
a phrase-final particle	啦 lā 
a place to sit; CL:个	座位 zuò wèi 
a post; a job	岗位 gǎng wèi 
apparently; to seem; to appear; as if; seemingly	似乎 sì hū 
appearance; face; features; CL:个	面貌 miàn mào 
appearance; manner; bearing; deportment; look; expression; mien	神态 shén tài 
appearance; phenomenon; CL:个	现象 xiàn xiàng 
appetite	胃口 wèi kǒu 
apple; CL:个[ge4] ,颗[ke1]	苹果 píng guǒ 
appointment; engagement; date; CL:次[ci4] ,个	约会 yuē huì 
apprentice; disciple	徒弟 tú dì 
appropriate; proper; ready	妥当 tuǒ dang 
appropriate; proper	妥善 tuǒ shàn 
appropriate; suitable	恰当 qià dàng 
approximately; about; left and right; around; (dial.) anyway	左右 zuǒ yòu 
approximately; about	大约 dà yuē 
a public square (e.g. Tiananmen Square); plaza; CL:个	广场 guǎng chǎng 
a pulse (both medical and figurative)	脉搏 mài bó 
a question; something not understood; to query; interrogative (gramm.); CL:个	疑问 yí wèn 
arable land; to plow land	耕地 gēng dì 
a rally; to hold a rally; to join forces	团结 tuán jié 
arbitrary; at will; at random	任意 rèn yì 
archaeology	考古 kǎo gǔ 
arduous; terrible (task); very difficult; formidable	艰巨 jiān jù 
area; region; district	区域 qū yù 
a relative (i.e. family relation); CL:门[men2] ,个,位[wei4]	亲戚 qīn qi 
arm; CL:只[zhi1] ,条[tiao2] ,双[shuang1]	胳膊 gē bo 
arms; equipment; to arm; military; armed (forces)	武装 wǔ zhuāng 
army troops; CL:支[zhi1] ,个	军队 jūn duì 
arm	臂 bì 
arrangement; composition; layout; opening (chess jargon)	布局 bù jú 
arrangement of ideas; administrative level; level; stage; phase	层次 céng cì 
arrangement; order; tidiness	条理 tiáo lǐ 
arrive; reach (a destination)	抵达 dǐ dá 
arrogant; full of oneself; conceited; proud of sth; CL:个	骄傲 jiāo ào 
art; CL:种[zhong3]	艺术 yì shù 
artery	动脉 dòng mài 
art; fine arts; painting; CL:种[zhong3]	美术 měi shù 
article; essay; literary works; writings; hidden meaning; CL:篇[pian1] ,段[duan4] ,页[ye4]	文章 wén zhāng 
articles for daily use; CL:件[jian4] ,个	日用品 rì yòng pǐn 
artificial; man-made; having human cause or origin; human attempt or effort	人为 rén wéi 
artificial; manpower; manual work	人工 rén gōng 
as before; (same) as usual	照样 zhào yàng 
as before; still	依旧 yī jiù 
as before; still	依然 yī rán 
as everyone knows (idiom)	众所周知 zhòng suǒ zhōu zhī 
as far as one's capabilities extend (idiom); to the best of one's ability; within one's powers	力所能及 lì suǒ néng jí 
as for; as to; to go so far as to	至于 zhì yú 
ashamed; be ashamed	惭愧 cán kuì 
a share (in a company); stock	股份 gǔ fèn 
ash; dust; lime; gray; discouraged; dejected	灰 huī 
Asia; Asian	亚洲 yà zhōu 
as if; to seem like	好像 hǎo xiàng 
as it should be by rights (idiom); proper and to be expected as a matter of course; inevitable and right	理所当然 lǐ suǒ dāng rán 
askew; at a crooked angle; devious; noxious	歪 wāi 
ask for instructions	请示 qǐng shì 
ask for time off	请假 qǐng jià 
as much as possible; to the greatest extent	尽量 jìn liàng 
as one wishes; according to one's wishes; at will; voluntary; conscious	随意 suí yì 
as one wishes; as one pleases; at random; negligent; casual; wanton	随便 suí biàn 
aspect; phase; situation	局面 jú miàn 
aspiration; ambition	抱负 bào fù 
as quickly as possible; as soon as possible; with all speed	尽快 jǐn kuài 
assailant; murderer; assassin	凶手 xiōng shǒu 
assistance; aid; to help; to assist	帮助 bāng zhù 
assistant; helper	助手 zhù shǒu 
assistant	助理 zhù lǐ 
a statue; a Buddhist image; sculpture; to carve	雕塑 diāo sù 
a stick; club or cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race	棒 bàng 
a strike; to go on strike	罢工 bà gōng 
astronomy	天文 tiān wén 
a struggle; fight; battle	斗争 dòu zhēng 
as well as; too; and	以及 yǐ jí 
at any time	随时 suí shí 
at ease; free from affectation; natural	自然 zì rán 
a time; everywhere; turn; all over; one time	遍 biàn 
at last; in the end; finally; eventually	终于 zhōng yú 
at least; (to say the) least	至少 zhì shǎo 
at long last; finally; on the whole	总算 zǒng suàn 
atmosphere; mood	气氛 qì fēn 
atmospheric pressure; barometric pressure	气压 qì yā 
at once; immediately; forthwith	顿时 dùn shí 
a trial; to try sb	审判 shěn pàn 
a trick; an ingenious method; know-how; the knack (of doing sth);	窍门 qiào mén 
at sb's invitation; on invitation	应邀 yìng yāo 
attachment; stubborn; be attached to; persistent; persevering;	执着 zhí zhuó 
attempt; CL:种[zhong3]	企图 qǐ tú 
at that time; originally	当初 dāng chū 
at the earliest possible time; as soon as possible	及早 jí zǎo 
at the instant sth happens; temporary; interim; ad hoc	临时 lín shí 
at the minimum; at the very least	起码 qǐ mǎ 
at the present time; currently	目前 mù qián 
at the same time; simultaneously	同时 tóng shí 
at the scene; on the spot	当场 dāng chǎng 
attitude (of the heart); state of one's psyche; way of thinking; mentality	心态 xīn tài 
attitude; posture; stance	姿态 zī tài 
attract worldwide attention	举世瞩目 jǔ shì zhǔ mù 
at worst; if worst comes to worst; serious; alarming	大不了 dà bù liǎo 
aunt; wife of father's elder brother; (polite form of address for a woman who is about the age of one's mother); CL:个	伯母 bó mǔ 
author; CL:個|个[ge4],位[wei4];	作家 zuò jiā 
authority; authoritative; power and prestige	权威 quán wēi 
authority; power	权力 quán lì 
automatic; voluntarily	自动 zì dòng 
autumn; fall; harvest time; a swing; surname Qiu	秋 qiū 
avaricious; greedy; rapacious; insatiable; avid	贪婪 tān lán 
average; on average; evenly; in equal proportions	平均 píng jūn 
aviation	航空 háng kōng 
award money; premium; a bonus	奖金 jiǎng jīn 
a way out (of a difficulty etc)	出路 chū lù 
awful; dreadful; fearful; formidable; frightful; scary; hideous; horrible; terrible; terribly	可怕 kě pà 
a while	一会儿 yī huì er 
a whistle; sentry	哨 shào 
a wide gap; big contrast; large disparity; a mismatch;	悬殊 xuán shū 
a wink; to signal with one's eyes	眼色 yǎn sè 
awkward; difficult; uncomfortable; not agreeing; at loggerheads; gauche; awkward (writing or speech)	别扭 biè niu 
awkward; embarrassed	尴尬 gān gà 
azure; sky blue;	蔚蓝 wèi lán 
baby; small child; doll	娃娃 wá wa 
background; backdrop; context; CL:种[zhong3]	背景 bèi jǐng 
background; bottom; base; the end of a period of time; towards the end of (last month)	底 dǐ 
back of neck; thing; item; classifier for principles, items, clauses, tasks, research projects	项 xiàng 
backup	备份 bèi fèn 
bacterium; germ; CL:种[zhong3]	细菌 xì jūn 
badminton; shuttlecock; CL:个	羽毛球 yǔ máo qiú 
bad; spoiled; broken; to break down	坏 huài 
balance; equilibrium	平衡 píng héng 
balcony; porch	阳台 yáng tái 
bald; blunt	秃 tū 
bamboo; CL:棵[ke1] ,支[zhi1] ,根[gen1]	竹子 zhú zi 
banana; CL:枝[zhi1] ,根[gen1] ,个,把[ba3]	香蕉 xiāng jiāo 
band; belt; girdle; ribbon; tire; area; zone; region; to wear; to carry; to lead; to bring; to look after; to raise; CL:条[tiao2];	带 dài 
bank; CL:家[jia1] ,个	银行 yín háng 
bank; field-path	畔 pàn 
banking; finance; financial	金融 jīn róng 
banquet; feast; dinner party; CL:席[xi2] ,个	宴会 yàn huì 
barbarous; uncivilized	野蛮 yě mán 
bar; pub; saloon; CL:家[jia1]	酒吧 jiǔ bā 
barrier; obstruction; hindrance; impediment; obstacle	障碍 zhàng ài 
base; foundation; basis; underlying; CL:个	基础 jī chǔ 
base (of operations); industrial or military base; al-Qaeda	基地 jī dì 
basic; fundamental; main; elementary	基本 jī běn 
basin; flower pot; unit of volume equal to 12 斗 and 8 升, approx 128 liters; CL:个	盆 pén 
basin (low-lying geographical feature); depression	盆地 pén dì 
basket; CL:只[zhi1]	筐 kuāng 
bathroom; toilet; WC; CL:间[jian1]	卫生间 wèi shēng jiān 
battery charger	充电器 chōng diàn qì 
battery; CL:节[jie2] ,组[zu3]	电池 diàn chí 
beach; sand bar; CL:片[pian4]	沙滩 shā tān 
beard; CL:根[gen1] ,绺[liu3]	胡须 hú xū 
beaten; exhausted; tired	疲惫 pí bèi 
beautiful; wonderful; splendid	美妙 měi miào 
beautiful	美丽 měi lì 
because of; for; to	为 wèi 
because… thus…; on account of…then…	因为…所以… yīn wèi …suǒ yǐ … 
（be) clear (about); clearly understood; clear; distinct	清楚 qīng chu 
bedroom; CL:间[jian1]	卧室 wò shì 
bee; honeybee; CL:只[zhi1] ,群[qun2]	蜜蜂 mì fēng 
be elected	当选 dāng xuǎn 
beer; CL:杯[bei1] ,瓶[ping2] ,罐[guan4] ,桶[tong3] ,缸[gang1]	啤酒 pí jiǔ 
before; formerly; previous; ago	以前 yǐ qián 
beforehand; prior	预先 yù xiān 
before; previously	先前 xiān qián 
beggar	乞丐 qǐ gài 
beginning or continuing an action; upward movement; stand up	起来 qǐ lái 
(begin to) develop; unfold; to start; to launch; to open; to carry out	开展 kāi zhǎn 
be good at; be adept in	善于 shàn yú 
behavior; conduct; activity; action	行为 xíng wéi 
Beijing; capital of People's Republic of China; Peking; PRC government	北京 běi jīng 
Beijing opera; CL:场[chang3] ,出[chu1]	京剧 jīng jù 
be in motion; to move; to run	运行 yùn xíng 
belly; abdomen; stomach; CL:个	肚子 dù zi 
benefit; advantage; gain; profit; also pronounced hao3 chu4; CL:个	好处 hǎo chu 
benefit; (in sb's) interest; CL:个	利益 lì yì 
benefit	效益 xiào yì 
benevolent; charitable; kind; kindly; kindness; merciful	仁慈 rén cí 
benevolent; charitable;	慈善 cí shàn 
besides; apart from (... also...); in addition to; except (for)	除了 chú le 
besides; in addition; moreover; furthermore	此外 cǐ wài 
best feature; most important part of an object; quintessence; essence; soul	精华 jīng huá 
best seller; chart-topping	畅销 chàng xiāo 
best; (you) had better (do what we suggest)	最好 zuì hǎo 
between; intermediate; mid; middle	中间 zhōng jiān 
between-meal nibbles; snacks	零食 líng shí 
be worthy of; deserve to be called; prove oneself to be	不愧 bú kuì 
beyond belief; preposterous; absurd; intemperate; dissipated	荒唐 huāng táng 
bias; deviation	偏差 piān chā 
bicycle; bike; CL:辆[liang4]	自行车 zì xíng chē 
big; huge; large; major; great; wide; deep; oldest; eldest	大 dà 
bilateral; both sides; both parties involved	双方 shuāng fāng 
biography; CL:篇[pian1] ,部[bu4]	传记 zhuàn jì 
bird; CL:只[zhi1] ,群[qun2]	鸟 niǎo 
birds and animals; the beasts of the field and the birds of the air	飞禽走兽 fēi qín zǒu shòu 
birthday; CL:个	生日 shēng rì 
birthday	诞辰 dàn chén 
biscuit; cracker; cookie; CL:片[pian4] ,块[kuai4]	饼干 bǐng gān 
bitter and astringent; pained; agonized;	苦涩 kǔ sè 
bitter cold; severe winter	严寒 yán hán 
bitter; hardship; pain; to suffer; painstaking	苦 kǔ 
bitterness finishes, sweetness begins (idiom); the hard times are over, the good times just beginning	苦尽甘来 kǔ jìn gān lái 
blackboard; CL:块[kuai4] ,个	黑板 hēi bǎn 
black; dark; abbr. for Heilongjiang 黑龙江 province in northeast China	黑 hēi 
blank space	空白 kòng bái 
blaze; flame	火焰 huǒ yàn 
blessings; wish well	祝福 zhù fú 
blind; aimless	盲目 máng mù 
blind; groundlessly; foolishly; to no purpose	瞎 xiā 
blistering hot; sizzling hot (weather)	炎热 yán rè 
blood; CL:滴[di1] ,片[pian4]	血 xuè 
blood pressure	血压 xuè yā 
blooming; in full flower	盛开 shèng kāi 
blue; indigo plant	蓝 lán 
blurt out; to shout	嚷 rǎng 
blush; shy	害羞 hài xiū 
boarding pass	登机牌 dēng jī pái 
boat	舟 zhōu 
body fat	脂肪 zhī fáng 
boiled water; boiling water	开水 kāi shuǐ 
boiling; ebullition	沸腾 fèi téng 
bold; open-minded; heroic	豪迈 háo mài 
bond; debenture	债券 zhài quàn 
bone; strong character; CL:根[gen1] ,块[kuai4]	骨头 gǔ tou 
booklet; book; classifier for books	册 cè 
book; letter; CL:本[ben3] ,册[ce4] ,部[bu4]; see also Book of History	书 shū 
bookshelf; CL:个	书架 shū jià 
books; works	书籍 shū jí 
border area; borderland; frontier; frontier region	边疆 biān jiāng 
born of the same parents; fellow citizen or countryman	同胞 tóng bāo 
boss; keeper	老板 lǎo bǎn 
botanical; plant; vegetation; CL:种[zhong3]	植物 zhí wù 
bottle; CL:个	瓶子 píng zi 
boundary; border	边界 biān jiè 
boundary; marginal	界限 jiè xiàn 
boundary; state; realm	境界 jìng jiè 
boundless; vast and obscure	茫茫 máng máng 
bowl; cup; CL:只[zhi1] ,个	碗 wǎn 
bow string; string of musical instrument; watchspring; chord (segment of curve); hypotenuse; CL:根[gen1]	弦 xián 
box	盒子 hé zi 
branch; classifier for sticks, rods, pencils etc	枝 zhī 
brand new	崭新 zhǎn xīn 
brave; courageous	勇敢 yǒng gǎn 
brave; heroic	壮烈 zhuàng liè 
bravery; gallant; valiant	英勇 yīng yǒng 
bread; CL:片[pian4] ,袋[dai4] ,块[kuai4]	面包 miàn bāo 
breast feeding; to suckle; to nurse	哺乳 bǔ rǔ 
breed; variety; CL:个	品种 pǐn zhǒng 
brick; CL:塊|块[kuai4];	砖 zhuān 
bridegroom; groom	新郎 xīn láng 
bride	新娘 xīn niáng 
bridge; CL:座[zuo4]	桥 qiáo 
bridge; fig. connection between two areas	桥梁 qiáo liáng 
bright; clear-cut; distinct	鲜明 xiān míng 
bright; clear; resonant; to shine; to show; to reveal	亮 liàng 
bright-colored; gaily-colored	鲜艳 xiān yàn 
bright; smart; quick-witted; heart; thoughts; spirit	心灵 xīn líng 
broadcast; widely spread; CL:个	广播 guǎng bō 
broken; damaged; worn out; to break, split or cleave; to get rid of; to destroy; to break with; to defeat; to capture (a city etc); to expose the truth of	破 pò 
brother's son; nephew;	侄子 zhí zi 
brown	棕色 zōng sè 
bud; flower bud;	花蕾 huā lěi 
budget	预算 yù suàn 
building; to construct; Taiwan pr. jian4 zhu2; CL:个	建筑 jiàn zhù 
bullet; CL:粒[li4] ,颗[ke1] ,发[fa1]	子弹 zǐ dàn 
bumper harvest	丰收 fēng shōu 
bumpy; uneven; slotted and tabbed joint; crenelation	凹凸 āo tū 
burden; to bear a burden	负担 fù dān 
bus; CL:辆[liang4] ,班[ban1]	公共汽车 gōng gòng qì chē 
(business) card	名片 míng piàn 
(business) company; company; firm; corporation; incorporated; CL:家[jia1]	公司 gōng sī 
(business) contract; CL:个	合同 hé tong 
(business etc) as usual	照常 zhào cháng 
business; trade; commerce	商业 shāng yè 
(business) transaction; business deal; CL:笔[bi3]	交易 jiāo yì 
bustling with noise and excitement; lively	热闹 rè nao 
busy; bustling	忙碌 máng lù 
busy; bustling	繁忙 fán máng 
busy; hurriedly	忙 máng 
busy (telephone)	占线 zhàn xiàn 
but; however	可是 kě shì 
butterfly; CL:只[zhi1]	蝴蝶 hú dié 
buttocks; bottom; ass	屁股 pì gu 
button	纽扣儿 niǔ kòu r 
but; yet; however; while; to go back; to decline; to retreat; nevertheless; even though	却 què 
by fair means or foul; by hook or by crook; unscrupulously	不择手段 bù zé shǒu duàn 
by (indicates passive-voice sentences or clauses); quilt; to cover (literary)	被 bèi 
by oneself; alone; on one's own	单独 dān dú 
cabin; the hold of a ship or airplane	舱 cāng 
cake; CL:块[kuai4] ,个	蛋糕 dàn gāo 
calcium (chemistry);	钙 gài 
calendar; CL:张[zhang1] ,本[ben3]	日历 rì lì 
calligraphy; handwriting; penmanship	书法 shū fǎ 
callous; heartless	狠心 hěn xīn 
calm; cool-headed	冷静 lěng jìng 
calm; cool	镇静 zhèn jìng 
calm; unperturbed; cool	镇定 zhèn dìng 
camera; CL:个,架[jia4] ,部[bu4] ,台[tai2] ,只[zhi1]	照相机 zhào xiàng jī 
camera shot (in a movie etc); scene	镜头 jìng tóu 
can; be possible; be able to; will; be likely to; be sure to; to assemble; to meet; to gather; to see; union; group; association; a moment (Taiwan pr. for this sense is hui3)	会 huì 
cancer	癌症 ái zhèng 
candidate	候选 hòu xuǎn 
candle; CL:根[gen1] ,支[zhi1]	蜡烛 là zhú 
can; jar; pot	罐 guàn 
can; may; possible; able to	可以 kě yǐ 
cannot bear; cannot stand; utterly; extremely	不堪 bù kān 
cannot help; unable to bear	忍不住 rěn bu zhù 
can't help; cannot but	不由得 bù yóu de 
can't help (doing sth); can't refrain from	不禁 bù jīn 
can't say for sure; maybe	说不定 shuō bu dìng 
canyon; gill; ravine	峡谷 xiá gǔ 
capability; capable; able; ability; CL:个	能力 néng lì 
capable; competent	能干 néng gàn 
capital (as in capitalism)	资本 zī běn 
capital (city); CL:个	首都 shǒu dū 
capital (finance); assets; means	本钱 běn qián 
caption; subtitle	字幕 zì mù 
captive	俘虏 fú lǔ 
carbon dioxide; CO2	二氧化碳 èr yǎng huà tàn 
carefree and without worries (idiom)	无忧无虑 wú yōu wú lv4 
careful; attentive; cautious	仔细 zǐ xì 
careful; thorough	周密 zhōu mì 
careless; negligent; sloppy; not serious	草率 cǎo shuài 
careless; reckless; casually; absent-mindedly; at will; at random; any old how	胡乱 hú luàn 
careless; sloppy; negligent; skimpy	马虎 mǎ hu 
careless; thoughtless	粗心 cū xīn 
care; solicitude; to show care for; concerned about; attentive to	关怀 guān huái 
caricature; cartoon; Japanese manga	漫画 màn huà 
carpet; rug	地毯 dì tǎn 
carriage; CL:节[jie2]	车厢 chē xiāng 
cartoon; animation	动画片 dòng huà piān 
cartoon	卡通 kǎ tōng 
case (law); CL:个	案例 àn lì 
cash	现金 xiàn jīn 
castle; rook (chess piece)	城堡 chéng bǎo 
catalog; table of contents; directory (on computer hard drive); list; contents	目录 mù lù 
cat; CL:只[zhi1]	猫 māo 
category	范畴 fàn chóu 
