ability; competence	才干 cái gàn 
also	亦 yì 
always; all along	向来 xiàng lái 
always; throughout (a period of time); (of) all-time	历来 lì lái 
a (married) couple; husband and wife; CL:对[dui4]	夫妇 fū fù 
amazed; astonished; to surprise; amazing; astonishment; awe	惊讶 jīng yà 
ambiguous; vague	含糊 hán hu 
ambition; resolve; backbone; drive; spirit	志气 zhì qì 
ambition; wild schemes; careerism	野心 yě xīn 
ambush	埋伏 mái fú 
among the people; popular; folk; non-governmental; involving people rather than governments	民间 mín jiān 
amount; sum of money; fixed number	数额 shù é 
ample; complete; hundred percent; a pure shade (of some color)	十足 shí zú 
a musical score; sheet music	乐谱 yuè pǔ 
analogy; metaphor; figure of speech; figuratively	比喻 bǐ yù 
an assertion; to declare; to state	陈述 chén shù 
an association; a society; CL:个,家[jia1]	协会 xié huì 
an attack (esp. surprise attack); raid; to attack	袭击 xí jī 
an attack; under attack; a shock	冲击 chōng jī 
ancestor; forebears	祖先 zǔ xiān 
ancestral land CL:个; homeland; used for PRC	祖国 zǔ guó 
anchorage; mooring (of a ship)	停泊 tíng bó 
and then (what follows next)	进而 jìn ér 
anesthesia; fig. to poison (sb's mind)	麻醉 má zuì 
angry; indignant	愤怒 fèn nù 
animal from the Chinese zodiac; one of the twelve animals symbolic of the earthly branches 地支[di4 zhi1]	生肖 shēng xiào 
an instant (Sanskrit: ksana); split second; the twinkling of an eye	刹那 chà nà 
anniversary; annual	周年 zhōu nián 
announcement (written, on billboard, letter, newspaper or website); to post information; a notice	启事 qǐ shì 
an outline; silhouette	轮廓 lún kuò 
an overall plan taking into account all factors	统筹兼顾 tǒng chóu jiān gù 
ant;	蚂蚁 mǎ yǐ 
an unforeseen event; accident; misfortune	变故 biàn gù 
anxiety; anxious	焦急 jiāo jí 
anxious for quick results (idiom); to demand instant success; impatient for result; impetuous	急于求成 jí yú qiú chéng 
aperture; opening; hole	孔 kǒng 
a phrase-final particle	啦 lā 
a post; a job	岗位 gǎng wèi 
appearance; face; features; CL:个	面貌 miàn mào 
appearance; manner; bearing; deportment; look; expression; mien	神态 shén tài 
apprentice; disciple	徒弟 tú dì 
appropriate; proper; ready	妥当 tuǒ dang 
appropriate; proper	妥善 tuǒ shàn 
appropriate; suitable	恰当 qià dàng 
a pulse (both medical and figurative)	脉搏 mài bó 
arable land; to plow land	耕地 gēng dì 
a rally; to hold a rally; to join forces	团结 tuán jié 
arbitrary; at will; at random	任意 rèn yì 
archaeology	考古 kǎo gǔ 
area; region; district	区域 qū yù 
arms; equipment; to arm; military; armed (forces)	武装 wǔ zhuāng 
army troops; CL:支[zhi1] ,个	军队 jūn duì 
arm	臂 bì 
arrangement; composition; layout; opening (chess jargon)	布局 bù jú 
arrangement of ideas; administrative level; level; stage; phase	层次 céng cì 
arrangement; order; tidiness	条理 tiáo lǐ 
arrive; reach (a destination)	抵达 dǐ dá 
artery	动脉 dòng mài 
artificial; man-made; having human cause or origin; human attempt or effort	人为 rén wéi 
artificial; manpower; manual work	人工 rén gōng 
as before; (same) as usual	照样 zhào yàng 
as before; still	依旧 yī jiù 
as everyone knows (idiom)	众所周知 zhòng suǒ zhōu zhī 
as far as one's capabilities extend (idiom); to the best of one's ability; within one's powers	力所能及 lì suǒ néng jí 
a share (in a company); stock	股份 gǔ fèn 
as it should be by rights (idiom); proper and to be expected as a matter of course; inevitable and right	理所当然 lǐ suǒ dāng rán 
ask for instructions	请示 qǐng shì 
as one wishes; according to one's wishes; at will; voluntary; conscious	随意 suí yì 
aspect; phase; situation	局面 jú miàn 
aspiration; ambition	抱负 bào fù 
assailant; murderer; assassin	凶手 xiōng shǒu 
assistant; helper	助手 zhù shǒu 
assistant	助理 zhù lǐ 
a statue; a Buddhist image; sculpture; to carve	雕塑 diāo sù 
a strike; to go on strike	罢工 bà gōng 
astronomy	天文 tiān wén 
a struggle; fight; battle	斗争 dòu zhēng 
atmospheric pressure; barometric pressure	气压 qì yā 
at once; immediately; forthwith	顿时 dùn shí 
a trial; to try sb	审判 shěn pàn 
a trick; an ingenious method; know-how; the knack (of doing sth);	窍门 qiào mén 
at sb's invitation; on invitation	应邀 yìng yāo 
attachment; stubborn; be attached to; persistent; persevering;	执着 zhí zhuó 
attempt; CL:种[zhong3]	企图 qǐ tú 
at that time; originally	当初 dāng chū 
at the earliest possible time; as soon as possible	及早 jí zǎo 
at the minimum; at the very least	起码 qǐ mǎ 
at the scene; on the spot	当场 dāng chǎng 
attitude (of the heart); state of one's psyche; way of thinking; mentality	心态 xīn tài 
attitude; posture; stance	姿态 zī tài 
attract worldwide attention	举世瞩目 jǔ shì zhǔ mù 
at worst; if worst comes to worst; serious; alarming	大不了 dà bù liǎo 
aunt; wife of father's elder brother; (polite form of address for a woman who is about the age of one's mother); CL:个	伯母 bó mǔ 
authority; authoritative; power and prestige	权威 quán wēi 
avaricious; greedy; rapacious; insatiable; avid	贪婪 tān lán 
aviation	航空 háng kōng 
a way out (of a difficulty etc)	出路 chū lù 
a whistle; sentry	哨 shào 
a wide gap; big contrast; large disparity; a mismatch;	悬殊 xuán shū 
a wink; to signal with one's eyes	眼色 yǎn sè 
awkward; difficult; uncomfortable; not agreeing; at loggerheads; gauche; awkward (writing or speech)	别扭 biè niu 
awkward; embarrassed	尴尬 gān gà 
azure; sky blue;	蔚蓝 wèi lán 
baby; small child; doll	娃娃 wá wa 
backup	备份 bèi fèn 
bacterium; germ; CL:种[zhong3]	细菌 xì jūn 
bald; blunt	秃 tū 
bank; field-path	畔 pàn 
banking; finance; financial	金融 jīn róng 
barbarous; uncivilized	野蛮 yě mán 
barrier; obstruction; hindrance; impediment; obstacle	障碍 zhàng ài 
base (of operations); industrial or military base; al-Qaeda	基地 jī dì 
basin (low-lying geographical feature); depression	盆地 pén dì 
basket; CL:只[zhi1]	筐 kuāng 
beard; CL:根[gen1] ,绺[liu3]	胡须 hú xū 
beaten; exhausted; tired	疲惫 pí bèi 
beautiful; wonderful; splendid	美妙 měi miào 
be elected	当选 dāng xuǎn 
beforehand; prior	预先 yù xiān 
before; previously	先前 xiān qián 
beggar	乞丐 qǐ gài 
(begin to) develop; unfold; to start; to launch; to open; to carry out	开展 kāi zhǎn 
be in motion; to move; to run	运行 yùn xíng 
benefit	效益 xiào yì 
benevolent; charitable; kind; kindly; kindness; merciful	仁慈 rén cí 
benevolent; charitable;	慈善 cí shàn 
best feature; most important part of an object; quintessence; essence; soul	精华 jīng huá 
best seller; chart-topping	畅销 chàng xiāo 
be worthy of; deserve to be called; prove oneself to be	不愧 bú kuì 
beyond belief; preposterous; absurd; intemperate; dissipated	荒唐 huāng táng 
bias; deviation	偏差 piān chā 
biography; CL:篇[pian1] ,部[bu4]	传记 zhuàn jì 
birds and animals; the beasts of the field and the birds of the air	飞禽走兽 fēi qín zǒu shòu 
birthday	诞辰 dàn chén 
bitter and astringent; pained; agonized;	苦涩 kǔ sè 
bitter cold; severe winter	严寒 yán hán 
bitterness finishes, sweetness begins (idiom); the hard times are over, the good times just beginning	苦尽甘来 kǔ jìn gān lái 
blank space	空白 kòng bái 
blaze; flame	火焰 huǒ yàn 
blind; aimless	盲目 máng mù 
blistering hot; sizzling hot (weather)	炎热 yán rè 
blood pressure	血压 xuè yā 
blooming; in full flower	盛开 shèng kāi 
blurt out; to shout	嚷 rǎng 
boat	舟 zhōu 
body fat	脂肪 zhī fáng 
boiling; ebullition	沸腾 fèi téng 
bold; open-minded; heroic	豪迈 háo mài 
bond; debenture	债券 zhài quàn 
books; works	书籍 shū jí 
border area; borderland; frontier; frontier region	边疆 biān jiāng 
born of the same parents; fellow citizen or countryman	同胞 tóng bāo 
boundary; border	边界 biān jiè 
boundary; marginal	界限 jiè xiàn 
boundary; state; realm	境界 jìng jiè 
boundless; vast and obscure	茫茫 máng máng 
bow string; string of musical instrument; watchspring; chord (segment of curve); hypotenuse; CL:根[gen1]	弦 xián 
branch; classifier for sticks, rods, pencils etc	枝 zhī 
brand new	崭新 zhǎn xīn 
brave; heroic	壮烈 zhuàng liè 
bravery; gallant; valiant	英勇 yīng yǒng 
breast feeding; to suckle; to nurse	哺乳 bǔ rǔ 
breed; variety; CL:个	品种 pǐn zhǒng 
brick; CL:塊|块[kuai4];	砖 zhuān 
bridegroom; groom	新郎 xīn láng 
bride	新娘 xīn niáng 
bridge; fig. connection between two areas	桥梁 qiáo liáng 
bright; clear-cut; distinct	鲜明 xiān míng 
bright; smart; quick-witted; heart; thoughts; spirit	心灵 xīn líng 
brother's son; nephew;	侄子 zhí zi 
brown	棕色 zōng sè 
bud; flower bud;	花蕾 huā lěi 
budget	预算 yù suàn 
bullet; CL:粒[li4] ,颗[ke1] ,发[fa1]	子弹 zǐ dàn 
bumper harvest	丰收 fēng shōu 
bumpy; uneven; slotted and tabbed joint; crenelation	凹凸 āo tū 
burden; to bear a burden	负担 fù dān 
(business) transaction; business deal; CL:笔[bi3]	交易 jiāo yì 
busy; bustling	忙碌 máng lù 
busy; bustling	繁忙 fán máng 
buttocks; bottom; ass	屁股 pì gu 
button	纽扣儿 niǔ kòu r 
by fair means or foul; by hook or by crook; unscrupulously	不择手段 bù zé shǒu duàn 
cabin; the hold of a ship or airplane	舱 cāng 
calcium (chemistry);	钙 gài 
calligraphy; handwriting; penmanship	书法 shū fǎ 
callous; heartless	狠心 hěn xīn 
calm; cool	镇静 zhèn jìng 
calm; unperturbed; cool	镇定 zhèn dìng 
camera shot (in a movie etc); scene	镜头 jìng tóu 
cancer	癌症 ái zhèng 
candidate	候选 hòu xuǎn 
candle; CL:根[gen1] ,支[zhi1]	蜡烛 là zhú 
can; jar; pot	罐 guàn 
cannot bear; cannot stand; utterly; extremely	不堪 bù kān 
can't help; cannot but	不由得 bù yóu de 
can't help (doing sth); can't refrain from	不禁 bù jīn 
canyon; gill; ravine	峡谷 xiá gǔ 
capital (as in capitalism)	资本 zī běn 
capital (finance); assets; means	本钱 běn qián 
captive	俘虏 fú lǔ 
carbon dioxide; CO2	二氧化碳 èr yǎng huà tàn 
carefree and without worries (idiom)	无忧无虑 wú yōu wú lv4 
careful; thorough	周密 zhōu mì 
careless; negligent; sloppy; not serious	草率 cǎo shuài 
careless; reckless; casually; absent-mindedly; at will; at random; any old how	胡乱 hú luàn 
care; solicitude; to show care for; concerned about; attentive to	关怀 guān huái 
caricature; cartoon; Japanese manga	漫画 màn huà 
cartoon	卡通 kǎ tōng 
case (law); CL:个	案例 àn lì 
castle; rook (chess piece)	城堡 chéng bǎo 
category	范畴 fàn chóu 
cautious and conscientious	兢兢业业 jīng jīng yè yè 
cautious and solemn (idiom); very carefully; prudent; gently and cautiously	小心翼翼 xiǎo xīn yì yì 
cautious; careful; prudent	慎重 shèn zhòng 
cavity; empty; vacuous	空洞 kōng dòng 
celebration; ceremony	典礼 diǎn lǐ 
cell (biology)	细胞 xì bāo 
cement; CL:袋[dai4]	水泥 shuǐ ní 
center of gravity; central core; main part	重心 zhòng xīn 
central; middle; center; central authorities (of a state)	中央 zhōng yāng 
ceremony	仪式 yí shì 
cervical vertebra; the seven cervical vertebrae in the neck of humans and most mammals	颈椎 jǐng zhuī 
chain	连锁 lián suǒ 
chairman of the board; chairman	董事长 dǒng shì zhǎng 
changes; vicissitudes	变迁 biàn qiān 
chaste; virtuous	贤惠 xián huì 
cheap and fine; attractive in price and quality	物美价廉 wù měi jià lián 
chest	胸膛 xiōng táng 
children's fairy tales	童话 tóng huà 
Chinese-style dress; cheongsam	旗袍 qí páo 
circumference;	方圆 fāng yuán 
circumstances; situation; CL:个	情形 qíng xíng 
citizen	公民 gōng mín 
classifier for coins, rings, badges, pearls, sporting medals, rockets, satellites etc	枚 méi 
classifier for houses or buildings; ridgepole (old)	栋 dòng 
classifier for ships; Taiwan pr. sao1	艘 sōu 
clause (of contract or law); CL:项[xiang4]	条款 tiáo kuǎn 
clean; purity	清洁 qīng jié 
clear; distinct	清晰 qīng xī 
clear-headed; sober; awake	清醒 qīng xǐng 
clear; limpid	清澈 qīng chè 
clearly demarcated; sharply contoured	分明 fēn míng 
clear (of liquid); limpid; to clarify; to make sth clear; to be clear (about the facts)	澄清 chéng qīng 
clear; to put in order; to check up	清理 qīng lǐ 
clever; quick-witted	机灵 jī ling 
clever; witty; intelligent	伶俐 líng lì 
client; customer	客户 kè hù 
cliffside	悬崖峭壁 xuán yá qiào bì 
clinical	临床 lín chuáng 
clothes	衣裳 yī shang 
cloth-wrapper; a bundle wrapped in cloth; load; weight; burden	包袱 bāo fu 
club	棍棒 gùn bàng 
clumsy; awkward; stupid	笨拙 bèn zhuō 
cluster; collection; collection of books; thicket	丛 cóng 
coastal	沿海 yán hǎi 
(coll.) all day long; all the time	成天 chéng tiān 
collapse	塌 tā 
(coll.) serve sb right; deservedly; ought; should	活该 huó gāi 
colony	殖民地 zhí mín dì 
comic dialog; sketch; crosstalk;	相声 xiàng sheng 
commanding officer	司令 sī lìng 
committee member; committee; council; CL:个	委员 wěi yuán 
common; everyday; average	通俗 tōng sú 
commonplace; ordinary; mediocre	平凡 píng fán 
common saying; proverb	俗话 sú huà 
common (use); interchangeable	通用 tōng yòng 
communications; a news story (e.g. dispatched over the wire); CL:个	通讯 tōng xùn 
communication; to get in touch with; to contact; connection (math.)	联络 lián luò 
community	社区 shè qū 
compartment; gap; interval; to divide	间隔 jiàn gé 
compass	指南针 zhǐ nán zhēn 
compensate; make up	补偿 bǔ cháng 
complacent; self-satisfied	自满 zì mǎn 
complainant; plaintiff	原告 yuán gào 
complaint; to file a complaint; to sue	投诉 tóu sù 
complete	齐全 qí quán 
complexion	气色 qì sè 
complicated; winding	曲折 qū zhé 
complication; twists and turns; problem; setback	周折 zhōu zhé 
comrade; homosexual (slang); CL:个	同志 tóng zhì 
concise; brief	简要 jiǎn yào 
conclusion; ending	结局 jié jú 
condiment; seasoning; flavoring	调料 tiáo liào 
condition; situation; plight; extent; room for action	地步 dì bù 
confident and at ease; free and easy;	潇洒 xiāo sǎ 
conflict; to conflict; clash of opposing forces; collision (of interests); contention	冲突 chōng tū 
Confucianism; Confucian school, founded by Confucius 孔子[Kong3 zi3] (551-479 BC) and Mencius 孟子[Meng4 zi3] (c. 372-c. 289 BC);	儒家 rú jiā 
confusion; chaos; disorder	混乱 hùn luàn 
conquer; subdue; vanquish	征服 zhēng fú 
conscience	良心 liáng xīn 
consciousness; awareness; Buddhist enlightenment (Sanskrit: cittotpāda)	觉悟 jué wù 
consciousness; awareness; consciously (i.e. deliberately); to be aware	意识 yì shí 
considerable	可观 kě guān 
considerably; rather; inclined to one side	颇 pō 
consistent; constant; from start to finish; all along; persistent	一贯 yí guàn 
consort; mate; spouse	配偶 pèi ǒu 
constitution (of a country)	宪法 xiàn fǎ 
consulate	领事馆 lǐng shì guǎn 
consult	请教 qǐng jiào 
contemplate; contemplation; meditation; ponder	沉思 chén sī 
contemptible; despicable; base; mean	卑鄙 bēi bǐ 
contestant; athlete	选手 xuǎn shǒu 
continuously; in an endless stream (idiom)	络绎不绝 luò yì bù jué 
contribution; meritorious service; credit	功劳 gōng láo 
controversy; dispute	争议 zhēng yì 
convenient; easy; facilitate	便利 biàn lì 
conventional	惯例 guàn lì 
cooking; culinary arts	烹饪 pēng rèn 
copper (chemistry); see also 紅红铜[hong2 tong2]; CL:块[kuai4]	铜 tóng 
corridor; aisle; hallway; colonnade; passageway; piazza; veranda	走廊 zǒu láng 
corrosion; to corrode (degrade chemically); to rot; corruption	腐蚀 fǔ shí 
corruption; corrupt; rotten	腐败 fǔ bài 
corruption	贪污 tān wū 
cotton	棉花 mián hua 
countermeasure for dealing with a situation	对策 duì cè 
courage; daring; boldness; resolution; drive	魄力 pò lì 
crack; gap between two objects; gap in time between two events	空隙 kòng xì 
craftmanship; workmanship; handicraft; trade	手艺 shǒu yì 
crash; break up	粉碎 fěn suì 
credentials; certificate	证书 zhèng shū 
creek; rivulet	溪 xī 
criminal; penal	刑事 xíng shì 
criminal	罪犯 zuì fàn 
crisis; CL:个	危机 wēi jī 
criticize; CL:个	批判 pī pàn 
crude; coarse; rough	粗鲁 cū lǔ 
cruel; ruthless; cruelty	残酷 cán kù 
crumbs; filings; worthwhile	屑 xiè 
crutches; crutch; walking stick	拐杖 guǎi zhàng 
crystallization; crystalline; crystal	结晶 jié jīng 
cube	立方 lì fāng 
cultural relic; historical relic; CL:件[jian4] ,个	文物 wén wù 
curio; antique	古董 gǔ dǒng 
currency; monetary; money	货币 huò bì 
current situation	现状 xiàn zhuàng 
current; today's; modern; present; to be facing (us)	当前 dāng qián 
current trends; the present situation; how things are going	时事 shí shì 
custom; tradition; local tradition; convention	习俗 xí sú 
daily renewal, monthly change (idiom); every day sees new developments; rapid progress	日新月异 rì xīn yuè yì 
dam;	堤坝 dī bà 
dance	舞蹈 wǔ dǎo 
Daoist immortal; supernatural entity; (in modern fiction) fairy, elf, leprechaun etc; fig. lighthearted person; used in advertising: Live like an immortal! 活神仙似	神仙 shén xiān 
daughter-in-law; wife (of a younger man); young married woman; young woman	媳妇 xí fu 
dawn; daybreak	黎明 lí míng 
day and night; period of 24 hours; continuously, without stop	昼夜 zhòu yè 
day by day; more and more; increasingly; more and more with each passing day	日益 rì yì 
daydream; fantasy; to fantasize	空想 kōng xiǎng 
dead body; corpse; carcass; CL:具[ju4]	尸体 shī tǐ 
deaf and dumb; deaf-mute; surdimutism	聋哑 lóng yǎ 
death; deadly	死亡 sǐ wáng 
decent; honorable; proper; serious; according to standards	正经 zhèng jing 
decide by vote; vote	表决 biǎo jué 
deed; past achievement; important event of the past	事迹 shì jì 
deep; extreme; dull; low pitched (sound)	深沉 shēn chén 
deep-rooted (problem etc)	根深蒂固 gēn shēn dì gù 
defect; fault	过失 guò shī 
defendant	被告 bèi gào 
defend; protect (against)	防守 fáng shǒu 
defend; uphold; safeguard	捍卫 hàn wèi 
defense	防御 fáng yù 
deferential; with respect	恭敬 gōng jìng 
deficit; (financial) loss	亏损 kuī sǔn 
definite; exact; precise	确切 què qiè 
definition	定义 dìng yì 
degree; rate	等级 děng jí 
degrees centigrade	摄氏度 shè shì dù 
delicate; fine; careful; meticulous; painstaking	细致 xì zhì 
delicate; fine; exquisite; refined	精致 jīng zhì 
delicate; squeamish; finicky	娇气 jiāo qì 
delighted to (do sth, idiom); perfectly happy to do; most willing to do;	心甘情愿 xīn gān qíng yuàn 
delight; pleasure; joy	乐趣 lè qù 
deluge; flood	洪水 hóng shuǐ 
democracy	民主 mín zhǔ 
denomination; group; school; faction; school of thought	派别 pài bié 
dense; thick (fog, clouds etc); to have a strong interest in; deep; fully saturated (color)	浓厚 nóng hòu 
dense	稠密 chóu mì 
density; thickness	密度 mì dù 
depot; storehouse; warehouse	仓库 cāng kù 
derogatory sense; negative connotation	贬义 biǎn yì 
design; pattern	图案 tú àn 
desire; longing; appetite; craving	欲望 yù wàng 
desolate; unfrequented; to treat sb coldly; to snub; to cold shoulder;	冷落 lěng luò 
desolate	凄凉 qī liáng 
desolate	荒凉 huāng liáng 
desperation; forlorn; hopeless	绝望 jué wàng 
detective; to do detective work	侦探 zhēn tàn 
development; trend; dynamic state; movement; moving	动态 dòng tài 
devil	魔鬼 mó guǐ 
devoted; fidelity; loyal; loyalty	忠诚 zhōng chéng 
(dialect) what	啥 shá 
(dialect) why; how; what	咋 zǎ 
dialect	方言 fāng yán 
diameter;	直径 zhí jìng 
diamond; CL:颗[ke1]	钻石 zuàn shí 
diaphysis (long segment of a bone); fig. backbone	骨干 gǔ gàn 
diarrhea; to have the runs	腹泻 fù xiè 
dictatorship	独裁 dú cái 
diesel fuel	柴油 chái yóu 
difference; distinction; diversity; disparity	差别 chā bié 
difference; error; inaccuracy	误差 wù chā 
difference (of opinion, position); bifurcation	分歧 fēn qí 
difficult; hard; challenging	艰难 jiān nán 
dignity; face (as in 'losing face'); honorable; creditable; pretty	体面 tǐ miàn 
dignity; sanctity; honor; majesty	尊严 zūn yán 
digression; gossip; complaint; scandal; CL:段[duan4]	闲话 xián huà 
diploma	文凭 wén píng 
direction; points of the compass; bearing; position; azimuth	方位 fāng wèi 
directly; head-on (collision); in one's face (of wind)	迎面 yíng miàn 
disabled; handicapped; deformity on a person or animal	残疾 cán jí 
disaster; catastrophe	灾难 zāi nàn 
discard; dump; abandon	抛弃 pāo qì 
discontent; complaint	牢骚 láo sāo 
discouraged; dejected; demoralized; despairing; to want to give up; to deflate (air from a tyre)	泄气 xiè qì 
disease; sickness; ailment	疾病 jí bìng 
dispirited and downcast (idiom); listless; in low spirits; washed out	无精打采 wú jīng dǎ cǎi 
dispirited; dejected; dismayed	沮丧 jǔ sàng 
disposition	意向 yì xiàng 
dispute; controversy; conflict	争端 zhēng duān 
dissolve; disband	解散 jiě sàn 
dissolve; solution	溶解 róng jiě 
distant; remote	遥远 yáo yuǎn 
distinction; excellence; outstanding; surpassing; distinguished; splendid	卓越 zhuó yuè 
distribute; emit; issue	散发 sàn fā 
diversification; pluralism; to diversify	多元化 duō yuán huà 
divine; hallow; holy; sacred	神圣 shén shèng 
do at all costs; make an all-out effort	全力以赴 quán lì yǐ fù 
dock; pier; wharf; CL:个	码头 mǎ tóu 
doctrine; ideology; -ism	主义 zhǔ yì 
document	文献 wén xiàn 
dog	犬 quǎn 
domesticated animals; livestock	牲畜 shēng chù 
double-edged sword; CL:口[kou3],把[ba3]; classifier for blows of a sword;	剑 jiàn 
down garment	羽绒服 yǔ róng fú 
down to; up to; to such an extent as to... (also written 以至以至于[yi3 zhi4 yu2])	以至 yǐ zhì 
draft (a bill); draw up (plans)	起草 qǐ cǎo 
draft (legislation, proposal etc)	草案 cǎo àn 
drill; practice	操练 cāo liàn 
drought; arid; dry	干旱 gān hàn 
drugs; narcotics; poison	毒品 dú pǐn 
dry and dull; uninteresting; dry-as-dust	枯燥 kū zào 
durable	耐用 nài yòng 
during; at the time of;	之际 zhī jì 
dusk; evening; nightfall	黄昏 huáng hūn 
dynasty; reign (of a king)	朝代 cháo dài 
eager; impatient	急切 jí qiè 
early in the morning	凌晨 líng chén 
early morning	清晨 qīng chén 
earnest; sincere	恳切 kěn qiè 
earnings; profit	收益 shōu yì 
easy to; convenient for	便于 biàn yú 
eccentric; grotesque; oddly; queer	古怪 gǔ guài 
edge; fringe; verge; brink; periphery; marginal; borderline	边缘 biān yuán 
effect; result	成效 chéng xiào 
efficacy	功效 gōng xiào 
electric power source	电源 diàn yuán 
elegance (for men); elegant demeanor; grace; poise	风度 fēng dù 
elegant; refined	文雅 wén yǎ 
element; element of a set; chemical element	元素 yuán sù 
eliminate; get rid of	清除 qīng chú 
emergency relief; to help the needy with cash or goods	救济 jiù jì 
emission; discharge; exhaust (gas etc)	排放 pái fàng 
emperor; CL:个	皇帝 huáng dì 
empress; imperial consort	皇后 huáng hòu 
enclosure; attachment (email); appendix	附件 fù jiàn 
end; extremity; item; port; to hold sth level with both hands; to carry; regular	端 duān 
energy; capabilities	能量 néng liàng 
energy; vitality; vigor; vital force	活力 huó lì 
engine (transliteration)	引擎 yǐn qíng 
enjoy market dominance; monopolize	垄断 lǒng duàn 
enlightened; open-minded; enlightenment	开明 kāi míng 
enlightenment; revelation; apocalypse	启示 qǐ shì 
ensign; flag	旗帜 qí zhì 
entail strenuous effort; be a strain	吃力 chī lì 
enthusiasm for doing sth	干劲 gàn jìn 
entranced; Trance (music genre)	出神 chū shén 
equal; equally; equivalent	相等 xiāng děng 
equally matched; about the same	不相上下 bù xiāng shàng xià 
equator (of the earth or astronomical body)	赤道 chì dào 
equipment; material	器材 qì cái 
equipment; to equip; to outfit	装备 zhuāng bèi 
essential factor; key constituent	要素 yào sù 
esthetics; appreciating the arts; taste	审美 shěn měi 
estrangement	隔阂 gé hé 
eternal; everlasting; fig. to pass into eternity (i.e. to die)	永恒 yǒng héng 
etiquette	礼节 lǐ jié 
even if; even though; right away; immediately	即便 jí biàn 
event; happening; incident; CL:个	事件 shì jiàn 
every; all	凡是 fán shì 
everybody; everyone; we all	大伙儿 dà huǒ r 
everyone gives their own view	各抒己见 gè shū jǐ jiàn 
evil-doer; malefactor; gangster; hoodlum	歹徒 dǎi tú 
evolution; CL:个	进化 jìn huà 
example; model; CL:个	榜样 bǎng yàng 
excellent; superlative	高超 gāo chāo 
exceptional; abnormal; an anomaly	异常 yì cháng 
exceptional; outstandingly good	优异 yōu yì 
excessive; over-; excess; going too far; extravagant; intemperate; overdue	过度 guò dù 
exchanging conventional greetings; to talk about the weather	寒暄 hán xuān 
exercise; practice; to put on a play; to act	演习 yǎn xí 
expansion; dilation; to expand (e.g. one's power or influence); to broaden	扩张 kuò zhāng 
expect; expected	预期 yù qī 
expenditures; pay; expenses; CL:笔[bi3]	开支 kāi zhī 
expensive; costly	昂贵 áng guì 
experienced and knowledgeable (idiom)	见多识广 jiàn duō shí guǎng 
experiment; test; experimental; CL:次[ci4] ,个	试验 shì yàn 
expert in; good at	拿手 ná shǒu 
exploration	勘探 kān tàn 
