afternoon; p.m.; CL:个[ge4]	下午 xià wǔ 
time; length of time; moment; period	时候 shí hou 
to ask; to invite; please (do sth); to treat (to a meal etc); to request	请 qǐng 
to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of	能 néng 
to be; yes	是 shì 
to buy; to purchase	买 mǎi 
to call; to shout; to order; to ask; to be called; by (indicates agent in the passive mood)	叫 jiào 
to come; to arrive; to come round; ever since; next	来 lái 
today; at the present	今天 jīn tiān 
to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance	做 zuò 
to drink; to shout (a command)	喝 hē 
to eat; to have one's meal; to eradicate; to destroy; to absorb; to suffer; to exhaust	吃 chī 
to go back; to turn around; to answer; to return; to circle; to revolve; Hui ethnic group; time; classifier for acts of a play; section or chapter (of a classic book)	回 huí 
to go to bed; to go to sleep	睡觉 shuì jiào 
to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed	去 qù 
to have; there is; there are; to exist; to be	有 yǒu 
to know; to recognize; to be familiar with; acquainted with sth; knowledge; understanding; awareness; cognition	认识 rèn shi 
to learn; to study	学习 xué xí 
to like; to be fond of	喜欢 xǐ huan 
to listen; to hear; to obey; a can (loanword from English 'tin'); classifier for canned beverages	听 tīng 
to live; to dwell; to stay; to reside; to stop	住 zhù 
to look at	看 kàn 
to love; affection; to be fond of; to like	爱 ài 
to make a phone call	打电话 dǎ diàn huà 
tomorrow	明天 míng tiān 
too (much); very; extremely; highest; greatest	太 tài 
to open; to start; to turn on; to operate (vehicle)	开 kāi 
to rain; rainy	下雨 xià yǔ 
to read; to study; reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]	读 dú 
to see; to catch sight of	看见 kàn jiàn 
to sit; to take a seat; to take (a bus, airplane etc); to bear fruit	坐 zuò 
to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory);	说 shuō 
to thank; thanks	谢谢 xiè xie 
to think; to believe; to suppose; to wish; to want; to miss	想 xiǎng 
to write	写 xiě 
two; 2; stupid (Beijing dialect)	二 èr 
unit of currency; lump (of earth); chunk; piece; classifier for pieces of cloth, cake, soap etc; colloquial word for yuan (or other unit of currency such as Hong Kong or US dollar etc), usually as 块钱	块 kuài 
very; (adverb of degree); quite; awfully	很 hěn 
water; river; liquid; beverage	水 shuǐ 
weather	天气 tiān qì 
week; CL:个[ge4]	星期 xīng qī 
we; us; ourselves; our	我们 wǒ men 
what?; who?; something; anything	什么 shén me 
where?; wherever; anywhere	哪儿 nǎ er 
which? (interrogative, followed by classifier or numeral-classifier);	哪 nǎ 
who; also pronounced shui2	谁 shéi 
year; CL:个[ge4]	年 nián 
yesterday	昨天 zuó tiān 
you (informal)	你 nǐ 
young lady; Miss; (slang) prostitute; CL:个[ge4] ,位[wei4]	小姐 xiǎo jie 
you're welcome; it's my pleasure (answer to someone who thanks)	不客气 bú kè qi 
