ability	Fähigkeit
apply for a job	sich um eine Stelle bewerben
apply for	sich bewerben um
apply to	sich wenden an
appoint	ernennen
appointment	Verabredung
appreciate	hochschätzen
appreciation	Würdigung
approach	sich nähern
approve of	billigen
a present	ein Geschenk
a pretty face	ein schönes Gesicht
April	April
a quarter past	Viertel nach
a quarter to	Viertel vor
a quiet conscience	ein ruhiges Gewissen
a quiet village	ein ruhiges Dorf
a rare event	ein seltenes Ereignis
arch	Bogen
area	Fläche
are	sind
argue	sich herumstreiten
argument	Streit
arise (irr.)	sich erheben
arisen	erhoben
arm	Arm
armchair	Sessel
armed men	bewaffnete Leute
armour	Rüstung eines Ritters
arms	Waffen
army	Heer
a roll of paper	eine Rolle Papier
arose	erhob sich
around	um herum
a row of people	eine Reihe Leute
arrangement	Reservierung
arrange	planen
arrest	Verhaftung
arrival	Ankunft
arrive	ankommen
arrow	Pfeil
article	Artikel
artificial	künstlich
artistic	künstlerisch
artist	Künstler
art	Kunst
as...as	so...wie
as for him	was ihn betrifft
ashamed	beschämt
ashamed of something	beschämt wegen etwas
ash	Asche
a sheet of paper	ein Blatt Papier
ashes	Asche
Asia	Asien
aside	beiseite
as if	als ob
ask for something	ums etwas bitten
ask	fragen
ask if he has come	frag ob er gekommen ist
ask somebody to dinner	jemanden zum Essen einladen
asleep	schlafend
a small amount of sugar	eine kleine Menge Zucker
a square mile	Quadratmeile
a square piece	ein viereckiges Stück
assistant	Assistent
assist	helfen
association	Verein
as soon as	so bald wie
as though	als ob
astonished	erstaunt
astonish	erstaunen
astonishing	erstaunlich
astonishment	Erstaunen
a straight line	eine gerade Linie
a strip of paper	ein Streifen Papier
as well as	so gut wie
as	wie
at all	überhaupt
at any rate	wenigstens
at	bei
at church	beim Gottesdienst
ate	aß
at first	zuerst
at hand	zur Hand
at high pressure	unter hohem Druck
a thing of this nature	etwas von dieser Art
at his side	neben ihm
at home	zu Hause
at last	endlich
at least	wenigstens
at my expense	auf meine Kosten
at nine o'clock	um neun Uhr
at once	sofort
attack	Angriff
attempt	versuchen
attend a conference	an einer Konferenz teilnehmen
attend school	Schule besuchen
attention	Aufmerksamkeit
attentive	aufmerksam
at the bottom of	am Boden von
at the close of the play	am Ende des Stücks
at the first try	beim ersten Versuch
at the front	vorn
at the head of	an der Spitze von
at the hotel	im Hotel
at the top	oben
at the top of	oben auf
attraction	Attraktion
attractive	attractiv
attract	reizen
a turn of the wheel	eine Drehung des Rades
audience	Publikum
August	August
aunt	Tante
Australia	Australien
Austrian	österreichisch
Austria	Österreich
author	Verfasser
autumn	Herbst(Br.)
available	verfügbar
avenue	Allee
average	Durchschnitt
average price	Durchschnittspreis
a very common flower	eine sehr gewöhnliche Blume
avoidable	vermeidbar
avoid	vermeiden
await	erwarten
awake	wach
away	weg
awful	furchtbar
awkward	scheußlich
a woman's skirt	der Rock einer Frau
a wooden box	eine hölzerne Kiste
a word of caution	ein Wort der Warnung
baby	Baby
back and forth	hin und her
backbone	Rückgrat
background	Hintergrund
back up	unterstützen
backward	rückständig
backwards	rückwärts
backyard	Hinterhof
back	zurück
bacon	Speck
bad luck	Unglück
bad	schlimm
bad work	schlechte Arbeit
baggage	Gepäck
bag	Tasche
bake	backen
baker	Bäcker
balance	Gleichgewicht
ball	Kugel
ball pen	Kugelschreiber
banana	Banane
band	Musikkapelle
bank	Geldinstitut
bank note	Geldschein
barber	Herrenfriseur
barely	kaum
bare	nackt
bargain	handeln
bark	bellen
barrel	Fass
bar	versperren
base	Basis
basement	Untergeschoss
basin	Becken
basis	Basis
basket	Korb
bath	Bad
bathe	baden
bathroom	Badezimmer
battle	Schlacht
bay	Bucht
be able to	können
be about to	im Begriff sein zu
beach	Strand
be afraid of	Angst haben vor
beak	Schnabel
be alive	leben
be allowed to	dürfen
bean	Bohne
beard	Bart
bear (irr.)	tragen
be asleep	schlafen
be astonished	erstaunt sein
beast	wildes Tier
beaten	geschlagen
beat (irr.)	schlagen
beat	schlug
beautifully	auf schöne Weise
beautiful	schön
beauty	Schönheit
became	wurde
be capable of	fähig sein zu
because of	wegen
because	weil
become	geworden
become (irr.)	werden
bed	Bett
bed of a river	Flußbett
bedroom	Schlafzimmer
bee	Biene
beef	Rindfleisch
be engaged	beschäftigt sein mit
been	gewesen
beer	Bier
be fond of	gerne haben
be forced to	müssen
before 1980	vor 1980
before	vorher
began	begann
beg	bitten
beggar	Bettler
begin (irr.)	beginnen
beginning	Anfang
begin to cry	zu schreien anfangen
begun	begonnen
behave	sich benehmen
behaviour	Benehmen
behind the mountains	hinter den Bergen
behind	zurück (hinten)
be in charge of	beaufsichtigen
being	Wesen
be in love (with)	verliebt sein (in)
be interested in	sich interessieren
Belgium	Belgien
belief	Glauben
believe	glauben
bell	Glocke
belong to	gehören
below the surface	unter der Oberfläche
below	unter
belt	Gürtel
be missing	fehlen
be mistaken	sich irren
bench	Sitzbank
bend (irr.)	biegen
bend	Kurve
beneath	unter (nur in literarischer Sprache)
bent	gebogen
be obliged to	müssen
be permitted to	dürfen
be right	recht haben
berry	Beere
be seated	sitzen
be	sein
beside	neben
besides	neben
best	bester
be suited	sich eignen
be tired of	satt haben
bet (irr.)	wetten
better	besser
between two persons	zwischen zwei Personen
between	zwischen
bet	wettete
be used to	gewohnt sein
be wrecked	Schiffbruch erleiden
be wrong	unrecht haben
beyond	jenseits
Bible	Bibel
bicycle	Fahrrad
big	groß
bike	Fahrrad
bill	Rechnung
bind (irr.)	binden
bind together	zusammenbinden
bird	Vogel
birthday card	Geburtstagskarte
birthday	Geburtstag
birth	Geburt
bit	biß
bite (irr.)	beißen
biting wind	beißender Wind
bitten	gebissen
bitter	bitter
bitterness	bitterer Geschmack
blackboard	Wandtafel
black	schwarz
blade	Klinge
blade of grass	Blatt vom Gras
blame	die Schuld geben
blanket	Wolldecke
bled	geblutet
bleed (irr.)	bluten
blessed	gesegnet
blessing	Segen
bless	segnen
blew	wehte
blind	blind
blinded	erblindet
blind man	Blinder
blind rage	blinder Zorn
block	blockieren
blood	Blut
blood-red	blutrot
bloody	blutig
bloom	Blüte
blossom	Blütenpracht
blouse	Bluse
blow (irr.)	wehen
blown	geweht
blow	Schlag
blow up	explodieren
blue	blau
blunt	stumpf
board	Vorstand
boastful	prahlerisch
boast	prahlen
boat	Boot
bodily	körperlich
body-guard	Leibwache
body	Körper
boiled potatoes	Pellkartoffeln
boiling point	Siedepunkt
boil	sieden
bold	kühn
boldly	in mutiger Weise
bold type	fette Druckbuchstaben
bomb	Bombe
bone	Knochen
book	Buch
booking office	Fahrkartenschalter
bookkeeper	Buchhalter
bookkeeping	Buchführung
bookshelf	Regal
bookshop	Buchhandlung
books of reference	Nachschlagewerke
boot	Stiefel
border	Grenze
border-line	Grenzlinie
bore	trug
boring	langweilig
borne	getragen
born	geboren
borrow	borgen
boss	Chef
both and	sowohl...als auch
both	beide
both my friends	meine beiden Freunde
bottle	Flasche
bottom of the sea	Meeresboden
bought	kaufte
boundary	Abgrenzung
bounded by the sea	umgeben von der See
bound	gebunden
bowl	Schale
bow	Verbeugung
box	Schachtel
boyfriend	Freund eines Mädchens
boy	Junge
brain	Gehirn
brains	Verstand
brain-worker	Geistesarbeiter
branch	Zweig
brass	Messing
bravely	auf tapfere Weise
brave	tapfer
bread	Brot
bread-knife	Brotmesser
breadth	Breite
break down	zusammenbrechen
breakdown	Zusammenbruch
breakfast	Frühstück
break (irr.)	zerbrechen
break	Pause
breast	Brust
breath	Atem
breathe	atmen
breathing	atmend
bred	züchtete
breed (irr.)	züchten
bribe	bestechen
bribery	Bestechung
brick	Ziegelstein
bride	Braut
bridegroom	Bräutigam
bridge	Brücke
bright	strahlend
bring about	zuwege bringen
bring back	zurückbringen
bring (irr.)	herbeibringen
British	britisch
broad	breit
broadcast (irr.)	senden (im Radio)
broadcast	sendete
broke	brach
broken	kaputt
brook	Bach
broom	Besen
brother	Bruder
brotherhood	Bruderschaft
brother-in-law	Schwager
brought	gebracht
brown	bräunen
browned by the sun	gebräunt von der Sonne
brush	Pinsel
bucket	Eimer
building	Gebäude
build (irr.)	bauen
built	gebaut
bulb	Glühbirne
bull	Stier
bunch of flowers	Blumenstrauß
bunch	Strauß
bundle	Bündel
burden	Last
burglar	Einbrecher
burial	Beerdigung
burn	Brandwunde
burning	Verbrennen
burn (irr.)	verbrennen
burnt	gebrannt
burst (irr.)	platzen
burst	platzte
bury	begraben
bus	Bus
bush	Busch
bushy	buschig
business	Geschäft
businessman (irr.)	Geschäftsmann
businessmen (pl.)	Geschäftsleute
bus stop	Bushaltestelle
busy	geschäftig
butcher	Fleischer
but	sondern
butter	Butter
butterfly	Schmetterling
button	Knopf
button up	zuknöpfen
buy (irr.)	kaufen
by accident	zufällig
by air	auf dem Luftweg
by birth	von Geburt an
by bus	mit dem Bus
by car	mit dem Auto
by chance	zufällig
by day	während des Tags
by electricity	mit Elektrizität
by heart	auswendig
by night	nachts
by no means	keineswegs
by plane	mit dem Flugzeug
by Shakespeare	von Shakespeare
by train	mit dem Zug
by	vorbei an
cabbage	Kohl
cable	Kabel
cafe	Cafe
cage	Käfig
cake	Kuchen
calculated	berechnet
calculate	rechnen
calculating	berechnend
calculation	Berechnung
calf	Wade
call for somebody	jemanden kommen lassen
call on somebody	jemanden besuchen
call	rufen
call the police	rufe die Polizei
calm down	beruhigen
calmly	in ruhiger Weise
calmness	Ruhe
calm	ruhig
calm weather	ruhiges Wetter
calves	Waden
came	kam
camera	Fotoapparat
camp-fire	Lagerfeuer
camping	Camping
camp	lagern
campsite	Campingplatz
canal	Schiffahrtskanal
candle	Kerze
can	Konservendose (US)
cannot	könnt nicht
can't	könnt nicht
cape	Kap
capital	Kapital
cap	Mütze
captain	Kapitän
card	Karte
care for	sich etwas machen aus
careful	vorsichtig
careless	unvorsichtig
care	Sorgfalt
car-load	Wagenladung
carpet	Teppich
carriage paid	Fracht bezahlt
carriage	Transport
carrot	Möhre
carry on	fortfahren
carry out	durchführen
carry	transportieren
cart	karren
case	Sache
cash	Bargeld
castle	Schloss
catch a ball	einen Ball fangen
catch (irr.)	fangen
catch the train	den Zug erreichen
cathedral	Kathedrale
cat	Katze
cattle	Rindvieh
caught	gefangen
cause and effect	Ursache und Wirkung
cause	verursachen
caution	warnen
cautiously	in vorsichtiger Weise
cautious	vorsichtig
cave	Höhle
ceiling	Zimmerdecke
celebrate	feiern
celebration	Feier
cellar	Keller
cent	Cent
center	Zentrum (US)
centimetre	Zentimeter
central	zentral
centre of a circle	Mittelpunkt eines Kreises
centre	Zentrum
century	Jahrhundert
certainly	gewiß
certain	sicher
certainty	Gewißheit
chain	Kette
chain up the dog	kette den Hund an
chairman	Vorsitzender
chairperson	Vorsitzende
chair	Stuhl
chamber	Kammer
chance	Chance
change	wechseln
character	Charakter
charcoal	Holzkohle
charge a battery	eine Batterie aufladen
charged with a crime	eines Verbrechens angeklagt
charge	Gebühr
charming	reizend
charm	Reiz
cheap	billig
cheat	mogeln
check-list	Prüfliste
check	Überprüfung
cheek	Wange
cheer	aufmuntern
cheese	Käse
chemical combination	chemische Verbindung
chemist	Apotheker
cheque	Scheck (Br.)
cherry	Kirsche
chest	Kasten
chest of drawers	Kommode
chicken	Hähnchen
chief	hauptssächlich
chiefly	hauptsächlich
childhood	Kindheit
child (irr.)	Kind
childish	kindisch
childlike	kindlich
children	Kinder
chimney	Kamin
China	China
china	Porzellan
Chinese	chinesisch
Chinese (pl.)	Chinesen
Chinese (s.)	Chinese
chin	Kinn
chips	Pommes frites(Br.)
chocolate	Schokolade
chocolates	Pralinen
choice	Auswahl
choose (irr.)	wählen
chosen	gewählt
chose	wählte
Christian	christlich
Christmas day	Weihnachtstag
Christmas	Weihnachten
church	Kirche
church-yard	Friedhof
cigarette	Zigarette
cigar	Zigarre
cinema	Kino
circle around	umkreisen
circle	Kreis
circular	rund
citizen	Bürger
city hall	Rathaus(US)
city	Stadt
civil	bürgerlich
civilization	Zivilisation
civilized	zivilisiert
claim	Forderung
classes	Unterricht
classification	Klassifikation
classify	klassifizieren
class	Klasse
clean	saubermachen
clean your teeth	putze deine Zähne
clear	klären
clear sky	klarer Himmel
clear up a mess	ein Durcheinander aufräumen
clerk	Büroangestellter
clever	klug
cliff	Klippe
climate	Klima
climb	klettern
clock	Wanduhr
clockwork	Uhrwerk
close	schließen
close the door	schließe die Tür
close to	nahe bei
clothe	bekleiden
clothes	Kleider
clothing	Bekleidung
cloth	Stoff (Tuch)
cloud	Wolke
cloudy	bewölkt
club	Klub
coach	Reisebus
coal	Kohle
coarse cloth	grobes Tuch
coarse	grob
coast	Küste
coast-line	Küstenlinie
coat	Mantel
coat-pocket	Manteltasche
cock	Gockelhahn
coffee	Kaffee
coffee-pot	Kaffeekanne
coin	münzen
cold	Kälte
coldly	in einem kühlen Ton
coldness	Kühle
collar	Kragen
collection	Sammlung
collector	Sammler
collect	sammeln
college	Hochschule
colony	Kolonie
colour	farbig machen
combination	Kombination
combined	verbunden
combine	verbinden
comb	kämmen
come across	ausfindig machen
come along	beeile dich
come and see us	besuch uns
come down to earth	komm auf die Erde zurück
come	gekommen
come in !	herein !
come in	komm herein
come (irr.)	kommen
come out	herauskommen
come to an end	ein Ende finden
come to see	besuchen (kommen)
come to the point	zur Sache kommen
comfortable	bequem
comfort	Komfort
command	Kommando
commerce	Handel
commercial	kaufmännisch
committee	Ausschuss
common	gewöhnlich
commonsense	gesunder Menschenverstand
community	Gemeinschaft
companion	Gefährte
company	Kompanie
compare	vergleichen
comparison	Vergleich
compete	im Wettbewerb stehen
competing	rivalisierend
competition	Konkurrenz
competitor	Mitbewerber
complain	sich beklagen
complaint	Klage
complete	vollständig
complicated	kompliziert
composer	Komponist
compose	zusammensetzen
composition	Komposition
concerning	betreffend
concern	Unternehmen
concert	Konzert
conditional	konditidional
condition	Zustand
confess	gestehen
confidence	Vertrauen
confidential	vertraulich
confident	zuversichtlich
congratulate	gratulieren
congratulations	Glückwünsche
connected	verbunden
connection	Verbindung
connect	verbinden
conquered	erobert
conquer	erobern
conqueror	Eroberer
conscience	Gewissen
conscious	bewusst
consciousness	Bewusstsein
consequence	Folge
considerable	beträchtlich
consideration	Überlegung
consider	überlegen
consider well before you choose	überlege gut ehe du wählst
consist of	bestehen aus
construct	bauen
construction	Konstruktion
constructive	konstruktiv
contact somebody	mit jemand Kontakt aufnehmen
contact	Verbindung
contain	enthalten
container	Behälter
contented	zufrieden
contents	Inhalt
content	zufrieden
continent	Kontinent
continue	fortsetzen
continuously	ununterbrochen
contrary	Gegenteil
control	kontrollieren
convenience	Annehmlichkeit
convenient	geeignet
conversation	Unterhaltung
conviction	Überzeugung
convince	überzeugen
cooked	gekocht
cooking fat	Kochfett
cooking-stove	Küchenherd
cook	Köchin
cool	kühlen
copper	Kupfer
copy	Nachahmung
cord	Strick
cork	Korken
corkscrew	Korkenzieher
corner	Ecke
corn	Mais(US)
correction	Verbesserung
correctly	in richtiger Weise
correct	verbessern
cost (irr.)	kosten
cost	kostete
cost of living	Lebenshaltungskosten
cost price	Selbstkostenpreis
cottage	Hütte
cotton	Baumwolle
couch	Couch
cough	husten
could	könntet
council	Rat (Gremium)
country	Land
County Council	Grafschaftsrat
count	zählen
couple	Ehepaar
courage	Mut
courageous	mutig
course	Kurs
court	Hof
court of justice	Gerichtshof
cousin	Vetter
covering	bdeckend
cover	zudecken
coward	Feigling
cowardice	Feigheit
cowardly	in feiger Weise
cow	Kuh
crack	Riß
crash	zusammenstoßen
craziness	Verrücktheit
crazy	verrückt
cream	Sahne
create	schaffen
creature	Geschöpf
credit	Kredit
creep (irr.)	kriechen
crept	kroch
crime	Verbrechen
criminal	verbrecherisch
critical	kritisch
criticism	Kritik
critic	Kritiker
crop	Ernte
crossing	Überfahrt
cross	überqueren
crowded	überfüllt
crowd	Menschenmenge
crown	Krone
cruel	grausam
cruelly	auf grausame Weise
cruelty	Grausamkeit
crush	ausdrücken
cry out	aufschreien
cry	weinen
cultivated	gepflegt
cultivate	pflegen
culture	Kultur
cupboard	Geschirrschrank
cup	Tasse
cure	kurieren
curiosity	Neugier
curiously	in neugieriger Weise
curious	neugierig
curled	gekraust
curl	Locke
currency	Währung
current	Strömung
cursed	verflucht
curse	verfluchen
curtain	Vorhang
curve	Kurve
cushioned	mit Kissen versehen
cushion	Kissen
customary	üblich
custom	Brauch
customer	Kunde
customs duty	Zollabgaben
customs	Zollbehörde
cut (irr.)	schneiden
cut	schnitt
daily	täglich
dairy	Molkerei
damaged	beschädigt
damage	Schaden
damp	Feuchtigkeit
dance	tanzen
dancing-shoes	Tanzschuhe
dancing	Tanzen
danger	Gefahr
dangerous	gefährlich
dare	wagen
daring	mutig
dark	dunkel
darken	verdunkeln
dark gray	dunkelgrau
darkness	Dunkelheit
date	Verabredung
daughter-in-law	Schwiegertochter
daughter	Tochter
day after day	Tag für Tag
day-dream	Tagtraum
day	Tag
dead body	Leiche
dead	Tote
deafening	ohrenbetäubend
deaf person	Schwerhöriger
deaf	taub
deal	austeilen
deal him a blow	ihm einen Schlag versetzen
deal in (irr.)	handeln mit
dealt in	handelte mit
deal with a problem	eine Angelegenheit behandeln
dear brother	lieber Bruder
dear	lieb
dear mother	Liebe Mutter
Dear Sir	sehr geehrter Herr
deathbed	Totenbett
death	Tot
debt	Schuld
decay	verrotten
deceived	getäuscht
deceive	täuschen
December	Dezember
deception	Täuschung
decided	entschlossen
decide	entscheiden
decision	Entscheidung
decisive	entscheidend
declaration	Erklärung
declare	feststellen
decrease	abnehmen
deed	Tat
deep blue	tiefes Blau
deep sleep	tiefer Schlaf
deep	tief
deer	Rotwild
defeated	besiegt
defeat	Niederlage
defence	Verteidigung (Br.)
defend	verteidigen
defense	Verteidigung (Am.)
degree	Grad
delay	Verzögerung
delicacy	Delikatesse
delicately	auf zarte Weise
delicate	zart
delighted	erfreut
delight	Entzücken
delightful	entzückend
delightfully	in entzückender Weise
deliver	anliefern
delivered	angeliefert
deliver us from evil	erlöse uns von der Sünde
delivery	Anlieferung
delivery of a baby	Geburt eines Kindes
demand	verlangen
Denmark	Dänemark
dentist	Zahnarzt
deny	leugnen
depart	abreisen
department	Abteilung
department store	Kaufhaus
departure	Abreise
depend	abhängen
dependence	Abhängigkeit
dependent	abhängig
depend on	Abhängig sein von
depend on something	von etwas abhängen
depth	Tiefe
descend from	abstammen von
describe	beschreiben
description	Beschreibung
deserted	verlassen
desert	Wüste
deserve punishment	Strafe verdienen
deserve	verdienen
desire	wünschen
desk	Schreibtisch
despair	Verzweiflung
desperate	verzweifelt
destroy	zerstören
destruction	Zerstörung
destructive	zerstörerisch
detailed	detailliert
detail	Einzelheit
determination	Entschlossenheit
determined	entschlossen
determine	sich entschließen
development	Entwicklung
develop	sich entwickeln
devil	Teufel
dial	wählen (Telefon)
diamond	Diamant
dictate	diktieren
dictation	Diktat
dictator	Diktator
dictionary	Wörterbuch
did	tatest
die	sterben
difference	Unterschied
different	verschieden
differ	sich unterscheiden
difficult	schwierig
difficulty	Schwierigkeit
dig (irr.)	graben
dine	speisen
dining-car	Speisewagen
dining room	Speisezimmer
dinner	Abendessen
dinner is ready	das Essen ist fertig
dinner plate	großer flacher Teller
dinner-table	Speisezimmertisch
dip	senken
direction	Richtung
directions	Anweisungen
direct	lenken
directly	geradewegs
director	Leiter
direct somebody to some place	jemandem den Weg zeigen
dirt	Schmutz
dirty	schmutzig
disadvantage	Nachteil
disagree	nicht übereinstimmen
disappearance	Verschwinden
disappear	verschwinden
disappointed	enttäuscht
disappoint	enttäuschen
disappointment	Enttäuschung
discharge	Entlassung
discipline	Disziplin
discomfort	Unbequemlichkeit
discontented	unzufrieden
discontent	unzufrieden
discover	entdecken
discoverer	Entdecker
discovery	Entdeckung
discuss	diskutieren
discussion	Diskussion
disease	Leiden
dishes	Geschirr
dish	Speise
dish-washer	Geschirrspülmaschine
dislike	nicht mögen
dismissal	Entlassung
dismiss	entlassen
disorder	Unordnung
display	ausstellen
displeasure	Missfallen
dispute	Streit
disrespect	Nichtachtung
dissatisfy	nicht befriedigen
dissolve	sich auflösen
distance	Entfernung
distant	entfernt
distinguish	unterscheiden
distribute	verteilen
district	Bezirk
disturb	stören
ditch	Graben
diver	Taucher
dive	tauchen
divide by	dividieren durch
divided	geteilt
divided into parts	in Teile unterteilt
divide	teilen
diving outfit	Tauchausrüstung
division	Teilung
doctor	Doktor
document	Dokument
does she really care for him	liebt sie ihn wirklich
dog	Hund
do good	Gutes tun
do (irr.)	tun
dollar	Dollar
doll	Puppe
done	getan
donkey	Esel
door-bell	Türklingel
door	Tür
dot	Pünktchen machen
do	tut
double doors	Doppeltüren
double glazing	doppelte Verglasung
double	verdoppeln
double your money	verdoppele dein Geld
doubtful	fraglich
doubtless	ohne Zweifel
doubt	zweifeln
do up a parcel	ein Paket fertif machen
do without	verzichten auf
down	hinunter
downstairs	im unteren Stockwerk
down to the present day	bis heute
downwards	abwärts
do you know yet ?	weißt du schon ?
do your best	leiste dein Bestes
dozen	Dutzend
drag net	Schleppnetz
drag	schleppen
drank	trank
draw a line	eine Zeile ziehen
draw a line through a point	eine Linie durch einen Punkt ziehen
draw conclusions	Schlüsse ziehen
drawer	Schublade
draw from an account	von einem Konto abheben
drawing	Zeichnung
draw (irr.)	ziehen
drawn	gezogen
dream (irr.)	träumen
dream	Traum
dreamt	träumte
dreamy	verträumt
dressed all in white	ganz weiß gekleidet
dressed	angezogen
dressed in black	in Schwarz gekleidet
dressed in white	gekleidet in Weiß
dressed up	gut gekleidet
dress	sich anziehen
drew	zog
drink	Getränk
drink (irr.)	trinken
drink it up	trinke aus
drink to the health of the bride	auf das Wohl der Braut trinken
drive a nail into the wall	einen Nagel in die Wand schlagen
drive	Fahrt
drive (irr.)	Vieh treiben
driven	gefahren
driver	Fahrer
drop in	auf einen Besuch hereinkommen
drop off to sleep	in Schlaf versinken
drop	Tropfen
drove	fuhr
drown	ertrinken
drowning	Ertrinken
